,Time,pp,pp_nr5,Accelerator,Brake,Steering,Speed,IN_Lat,IN_Long
1,0,0.003530406625,0.00414815259636659,33.1108748910891,-3.83535065108911,-61.3410689009901,15.0891089108911,1836.06737786139,-5781.18850562376
2,1,0.00438116142857143,0.00418180091541795,25.553677,-5.0073775201005,-76.8200488542714,17.5879396984925,1836.06851523618,-5781.18655417085
3,2,0.00442945675,0.00422335137364299,19.7542986666667,-0.668289377237811,-95.2511574676617,18.547263681592,1836.07033334328,-5781.18398641791
4,3,0.00540853071428571,0.00424515647184211,20.0235903668342,5.22766952642714,-40.4870452829146,19.2060301507538,1836.07241611055,-5781.18172230151
5,4,0.00449766525,0.00423330323351606,19.7664438358209,23.0813440383085,0.349402144621891,18.5273631840796,1836.074562,-5781.17970486567
6,5,0.00422371342857143,0.00420105321428594,19.7395328190955,42.185200959799,26.2894852311558,18,1836.07656961809,-5781.17779643216
7,6,0.003637304125,0.00417157236849368,19.6163939253731,32.4890273631841,50.9852361243781,16.1691542288557,1836.07813746269,-5781.17615119403
8,7,0.00454683257142857,0.00416042985067553,19.5688649648241,20.7806904371859,58.9696748241206,12.9447236180905,1836.07934396985,-5781.17467878392
9,8,0.005088648625,0.00416498004539375,19.5522532636816,18.2951535721393,86.8373746069652,11,1836.08038426866,-5781.17319373134
10,9,0.00369859385714286,0.0041696323949863,19.517202718593,38.1543856984925,85.2989362462312,10.3266331658291,1836.0812821206,-5781.17165234171
11,10,NA,NA,19.5503882686567,37.8707787960199,35.7747103830846,9.29353233830846,1836.08188701493,-5781.17036295522
12,11,NA,NA,19.4805130753769,39.4053736030151,4.42232625073874,6.73366834170854,1836.08216517588,-5781.16967502513
13,12,NA,NA,19.423501800995,38.7141233084577,1.51347104656716,3.86069651741294,1836.08221208955,-5781.16953537313
14,13,NA,NA,19.4040137487437,36.5293501055276,0.162964788384422,3,1836.082206,-5781.16954622111
15,14,NA,NA,19.3947078557214,34.3772351044776,-1.19606872338308,2.76119402985075,1836.082206,-5781.169548
16,15,NA,NA,19.3916912361809,38.3696916281407,-1.54574518040201,0,1836.08220871357,-5781.169548
17,16,NA,NA,19.387381721393,35.9895757960199,-1.71155292935323,0,1836.082212,-5781.169548
18,17,NA,NA,19.3802855678392,35.5157349547739,-1.84633551356784,0,1836.082212,-5781.169548
19,18,NA,NA,19.3741012985075,35.8940347562189,-1.96376411741294,0,1836.082212,-5781.169548
20,19,NA,NA,19.3709555276382,34.5593944673367,-2.0294708638191,0,1836.082212,-5781.169548
21,20,NA,NA,19.3684082537313,33.0409347711443,-2.09008639104478,0,1836.082212,-5781.169548
22,21,NA,NA,19.3609798844221,34.4942461155779,-2.13535195276382,0,1836.082212,-5781.169548
23,22,NA,NA,19.3622551144279,33.9995089154229,-2.16427866517413,0,1836.082212,-5781.169548
24,23,NA,NA,19.3597520653266,32.7330054170854,-2.17413498592965,0,1836.082212,-5781.169548
25,24,NA,NA,19.3530296069652,32.2650048159204,-2.19548723781095,0,1836.08221489552,-5781.169548
26,25,NA,NA,19.3519388693467,32.2829610351759,-2.19872951658291,0,1836.082218,-5781.16955372864
27,26,NA,NA,19.3508827761194,29.6090858550746,-2.00444687960199,0,1836.08222214925,-5781.16955391045
28,27,NA,NA,25.0442924673367,-0.0831196538201005,-1.64393163211055,0,1836.08225077387,-5781.16949813065
29,28,NA,NA,37.2946409054726,0.543046561333333,-1.36948765325871,0,1836.08240262687,-5781.16917226866
30,29,NA,NA,37.2532918643216,1.67263035803196,-12.6178270474623,1.98492462311558,1836.08289407035,-5781.16806762814
31,30,NA,NA,37.1026488656716,2.60451690701493,-66.6229039253731,9.93532338308458,1836.08373892537,-5781.16614719403
32,31,NA,NA,35.9874493115578,0.440432630467337,-218.770518190955,14.9447236180905,1836.08492870352,-5781.16380762814
33,32,NA,NA,32.9144908756219,-2.49267156451741,-319.372140945274,18,1836.08681573134,-5781.16172295522
34,33,NA,NA,33.0448218743719,-3.83573709328141,-292.808724472362,19.5175879396985,1836.08954493467,-5781.16081661307
35,34,NA,NA,37.7077770497512,-1.65209293134876,-105.203163766169,20,1836.0926218209,-5781.16165477612
36,35,NA,NA,38.4976649648241,-2.82261614887437,-16.0988996185578,22.1507537688442,1836.09581062312,-5781.16349152764
37,36,NA,NA,41.5555863233831,-0.91930791769602,0.151942111059701,25.592039800995,1836.09925537313,-5781.16565131343
38,37,0.005015647,0.00416914369324608,40.9978324271357,-3.04703103884422,1.40166888635477,26.9547738693467,1836.10311994975,-5781.16797337688
39,38,0.004490043,0.00416641158602824,38.0296913880597,-3.13829428661692,1.77927321297881,30.9452736318408,1836.10739516418,-5781.17048931343
40,39,0.0036784542,0.0041642895626083,34.9672088040201,-3.44984791974874,2.47235381150754,33.3467336683417,1836.112004201,-5781.17312972864
41,40,0.00442181916666667,0.00416467241678589,34.0256328109453,-4.42407378955224,2.5282675971194,36,1836.11684044776,-5781.17583423881
42,41,0.00465236566666667,0.00416196701136359,33.3355411859296,-4.54320050452261,6.55426423241206,37.1608040201005,1836.12183826131,-5781.17857269347
43,42,0.0041830685,0.00414863695593212,32.9372854228856,-4.68589442288557,11.6909673412935,37,1836.12696722388,-5781.1812079403
44,43,0.0040578082,0.00412974830107682,31.2286270703518,-5.3346461040201,16.9205685376884,37.713567839196,1836.13227394975,-5781.18351159799
45,44,0.004154586,0.00410961504220096,30.7257885572139,-6.07296013034826,18.3254270238806,38.6019900497512,1836.13776853731,-5781.18527322388
46,45,0.00435434357142857,0.00408703682113882,30.8230472713568,-6.15545427839196,13.6979933633166,38,1836.14338341709,-5781.18653586935
47,46,0.00375140225,0.00406537945926898,30.9264383880597,-6.22932021940299,19.0046872338308,38,1836.14904755224,-5781.18741292537
48,47,0.003864896,0.00404915030873872,30.9932382613065,-6.00602204924623,20.2692499497487,37.3969849246231,1836.15481902513,-5781.18785647236
49,48,0.004029669,0.00404115782244606,29.9811843283582,-6.30988010845771,21.37306860199,38.7910447761194,1836.16065307463,-5781.1877578806
50,49,0.003883786,0.00403805512093583,21.5576318241206,1.71950640664673,17.1327256743719,39.4020100502513,1836.16646942714,-5781.18707918593
51,50,0.004417289875,0.00403462430869848,19.7827570547264,31.5954984776119,4.04131227932836,39,1836.17216140299,-5781.18601295522
52,51,0.00398355857142857,0.00402537915374745,19.925199080402,31.9466207839196,-3.57182920741709,37.9246231155779,1836.17757657286,-5781.1849040201
53,52,0.003777270375,0.00401375012539954,20.1819028706468,29.2176072089552,21.2808005537313,35.8855721393035,1836.18258122388,-5781.18388719403
