"","Time","pp","pp_nr2"
"1",0,0.00332006540459891,0.00296072457891399
"2",1,0.0024410963524133,0.00282640237828381
"3",2,0.00249355097184889,0.00271913486960239
"4",3,0.00249996029638818,0.00272110267556967
"5",4,0.00297269171902112,0.00284086444879986
"6",5,0.00305672605255885,0.00293127490337403
"7",6,0.0030304376850836,0.00293823928888938
"8",7,0.00273315914507423,0.00291887594201983
"9",8,0.00320137574453838,0.00292779781299512
"10",9,0.0023973227556174,0.00289948584575836
"11",10,0.00351764366496354,0.00299692697865684
"12",11,0.00300150329712778,0.00302605761492684
"13",12,0.0030035198724363,0.00297689200404686
"14",13,0.00274285723987435,0.00291777347691333
"15",14,0.00295238186871367,0.00297085785700397
"16",15,0.00329260724330587,0.0030161495809544
"17",16,0.00288966012885794,0.00295055272687769
"18",17,0.00307789204331736,0.00293778446911594
"19",18,0.00298622024378606,0.00294437513101227
"20",19,0.00284633963989715,0.0029120664063511
"21",20,0.0026241255691275,0.00284794808860035
"22",21,0.00295090089951243,0.00284705155022526
"23",22,0.00282534442117645,0.00288710360286996
"24",23,0.00311454269103706,0.002945556658694
"25",24,0.00274156569503248,0.00294709877394699
"26",25,0.00334808330184647,0.00298057109295962
"27",26,0.00278540680301376,0.00295974721867284
"28",27,0.00269557400939188,0.00299223597473002
"29",28,0.00311948420130648,0.00310541599233512
"30",29,0.00321460806299001,0.0031280680216124
"31",30,0.0030923958402127,0.00311564613023477
"32",31,0.00353064674085804,0.00314273658817034
"33",32,0.00324793584877625,0.00317617160854717
"34",33,0.00329521275125444,0.00315128939611463
"35",34,0.00309347108538662,0.00313053315968743
"36",35,0.00310658813188119,0.00311680670576271
"37",36,0.00308754431898706,0.00308870565505128
"38",37,0.00329904078638979,0.00301112256134584
"39",38,0.00286258253618143,0.00294638349701243
"40",39,0.00289406923444143,0.00287740103065981
"41",40,0.00278928957413882,0.00282624698043593
"42",41,0.0027388932316431,0.00276306518551706
"43",42,0.00275513902306557,0.0027769870760423
"44",43,0.0027101625621851,0.00284552684328069
"45",44,0.00319319180562161,0.00293464679983519
"46",45,0.00296623093475189,0.00292796159880653
"47",46,0.00282112165587023,0.00285147990326144
"48",47,0.00275809793466968,0.00275983161312583
"49",48,0.00243294957908802,0.00270664053455033
"50",49,0.00269224968117972,0.00273939408351418
"51",50,0.00271299344603904,0.00275600287710523
"52",51,0.00271459406108728,0.00275168580653704
"53",52,0.00268138395040296,0.00278431640464257
"54",53,0.00287512294016778,0.00284345134154589
"55",54,0.00313374183938972,0.00289972694667057
"56",55,0.00304102877687131,0.00294884957439619
"57",56,0.00287994271558192,0.00294667230094575
"58",57,0.00329454742105944,0.00297728536355211
"59",58,0.00288010251824744,0.00297785128841264
"60",59,0.0032145834993571,0.00304464521520317
"61",60,0.00371061154874042,0.00312114185075753
"62",61,0.00304066074184246,0.0030253623623264
"63",62,0.0024569161801732,0.0029105123961553
"64",63,0.00279727278393693,0.00293834722125492
"65",64,0.00337386091372796,0.00303973753551121
"66",65,0.0029541896074079,0.00302861845721817
"67",66,0.00322347224157836,0.00300791521342141
"68",67,0.00291985808871686,0.00297150007394384
"69",68,0.00274842290673405,0.00293954716448331
"70",69,0.0026761341917639,0.00301367165246557
"71",70,0.00380686001153663,0.00320393348580603
"72",71,0.00336499762488529,0.00320511464214941
"73",72,0.00292633596109226,0.0030268110584474
"74",73,0.00266871213292082,0.00292221350863778
"75",74,0.00323667460387307,0.00300427701239125
"76",75,0.00309855164960027,0.00303267198695288
"77",76,0.00301673645818872,0.00299223224819959
"78",77,0.00289436359889805,0.00299266119432111
"79",78,0.00321821722900495,0.00301213646093137
"80",79,0.00278757535852492,0.00298188435729697
"81",80,0.00296053691999987,0.00304832988599106
"82",81,0.00368164273511086,0.00314873837177939
"83",82,0.0033557095642512,0.00307469440130365
"84",83,0.002689377986826,0.00296252592053044
"85",84,0.00304122152738273,0.0030141324162143
"86",85,0.00332761884783395,0.00306363475636626
"87",86,0.00276129862426647,0.00297940743203228
"88",87,0.00280402211605438,0.00294620531304677
"89",88,0.00287208054214716,0.00299046158075566
"90",89,0.00299945462029427,0.00304373314249345
"91",90,0.0032427326243903,0.00309725505225923
"92",91,0.00312751269666478,0.00308960177627206
"93",92,0.00292270727056478,0.00303712850903353
"94",93,0.00305472483159974,0.00311478702157086
"95",94,0.00357644246625049,0.00326168844046864
"96",95,0.00362366554327309,0.00337269469808078
"97",96,0.00346090252112065,0.00338445156846368
"98",97,0.00345558174220579,0.00333580817211816
"99",98,0.00344967672468296,0.00323513228166594
"100",99,0.00319587884587236,0.00312565500248349
"101",100,0.00285439423169009,0.00301669105527638
"102",101,0.00300562198390253,0.00303328089603875
"103",102,0.00319759524427354,0.00306335679195423
"104",103,0.0030458340770565,0.00303828685059835
"105",104,0.00279592749263559,0.00301945840629922
"106",105,0.00306602221098728,0.00307182382868845
"107",106,0.00336093458879207,0.0031110742289373
"108",107,0.002975355268323,0.00306032245166465
"109",108,0.00294785358710214,0.00299210294441648
"110",109,0.00287322711665183,0.00295133951525362
"111",110,0.00302818733533578,0.00300370864004236
"112",111,0.0033306878629244,0.00313360738613548
"113",112,0.00322704888614161,0.00315694859820737
"114",113,0.00315159597084858,0.00309112700333887
"115",114,0.00311236522559609,0.003019628295992
"116",115,0.00265455569024198,0.00293587252388912
"117",116,0.00309299564521228,0.00296429631358558
"118",117,0.00276892292978508,0.00298489545997586
"119",118,0.00301634473726153,0.00300799236836889
"120",119,0.00311314882128499,0.00306770027246695
"121",120,0.00314849166066519,0.00306626183611968
