"","ticker","Rank","Company","Weight","X","conm","gvkey","cik","cusip","fyear"
"1","AAL",467,"American Airlines Group Inc.",0.026195,2009,"AMERICAN AIRLINES GROUP INC",1045,6201,"02376R102",1992
"2","AAPL",1,"Apple Inc.",7.13518,2678,"APPLE INC",1690,320193,"037833100",1992
"3","ABMD",413,"ABIOMED Inc.",0.038389,9725,"ABIOMED INC",13619,815094,"003654100",1992
"4","ABT",34,"Abbott Laboratories",0.551666,3873,"ABBOTT LABORATORIES",1078,1800,"002824100",1992
"5","ADBE",29,"Adobe Incorporated",0.561778,1603,"ADOBE INC",12540,796343,"00724F101",1992
"6","ADI",84,"Analog Devices Inc.",0.259498,5910,"ANALOG DEVICES INC",1632,6281,"032654105",1992
"7","ADM",158,"Archer-Daniels-Midland Company",0.135102,6457,"ARCHER-DANIELS-MIDLAND CO",1722,7084,"039483102",1992
"8","ADP",71,"Automatic Data Processing Inc.",0.29231,4980,"AUTOMATIC DATA PROCESSING",1891,8670,"053015103",1992
"9","ADSK",156,"Autodesk Inc.",0.137083,6370,"AUTODESK INC",1878,769397,"052769106",1992
"10","AEE",286,"Ameren Corporation",0.068674,1491,"AMEREN CORP",10860,1002910,"023608102",1992
"11","AEP",149,"American Electric Power Company Inc.",0.146644,1895,"AMERICAN ELECTRIC POWER CO",1440,4904,"025537101",1992
"12","AES",390,"AES Corporation",0.042682,8843,"AES CORP (THE)",24216,874761,"00130H105",1992
"13","AFL",211,"Aflac Incorporated",0.10194,5482,"AFLAC INC",1449,4977,"001055102",1992
"14","AIG",181,"American International Group Inc.",0.116504,9823,"AMERICAN INTERNATIONAL GROUP",1487,5272,"026874784",1992
"15","AJG",204,"Arthur J. Gallagher & Co.",0.103896,232,"ARTHUR J GALLAGHER & CO",4973,354190,"363576109",1992
"16","ALB",255,"Albemarle Corporation",0.082195,2358,"ALBEMARLE CORP",29751,915913,"012653101",1992
"17","ALK",495,"Alaska Air Group Inc.",0.016034,3213,"ALASKA AIR GROUP INC",1230,766421,"011659109",1992
"18","ALL",228,"Allstate Corporation",0.092275,9502,"ALLSTATE CORP",28349,899051,"020002101",1992
"19","AMAT",79,"Applied Materials Inc.",0.269679,9556,"APPLIED MATERIALS INC",1704,6951,"038222105",1992
