"","ticker","Rank","Company","Weight","X","conm","gvkey","cik","cusip","fyear"
"1","AAL",467,"American Airlines Group Inc.",0.026195,6823,"AMERICAN AIRLINES GROUP INC",1045,6201,"02376R102",1990
"2","AAPL",1,"Apple Inc.",7.13518,8483,"APPLE INC",1690,320193,"037833100",1990
"3","ABMD",413,"ABIOMED Inc.",0.038389,7066,"ABIOMED INC",13619,815094,"003654100",1990
"4","ABT",34,"Abbott Laboratories",0.551666,9336,"ABBOTT LABORATORIES",1078,1800,"002824100",1990
"5","ADBE",29,"Adobe Incorporated",0.561778,7147,"ADOBE INC",12540,796343,"00724F101",1990
"6","ADI",84,"Analog Devices Inc.",0.259498,255,"ANALOG DEVICES INC",1632,6281,"032654105",1990
"7","ADM",158,"Archer-Daniels-Midland Company",0.135102,4831,"ARCHER-DANIELS-MIDLAND CO",1722,7084,"039483102",1990
"8","ADP",71,"Automatic Data Processing Inc.",0.29231,8251,"AUTOMATIC DATA PROCESSING",1891,8670,"053015103",1990
"9","ADSK",156,"Autodesk Inc.",0.137083,9393,"AUTODESK INC",1878,769397,"052769106",1990
"10","AEE",286,"Ameren Corporation",0.068674,4844,"AMEREN CORP",10860,1002910,"023608102",1990
"11","AEP",149,"American Electric Power Company Inc.",0.146644,8202,"AMERICAN ELECTRIC POWER CO",1440,4904,"025537101",1990
"12","AES",390,"AES Corporation",0.042682,9565,"AES CORP (THE)",24216,874761,"00130H105",1990
"13","AFL",211,"Aflac Incorporated",0.10194,3154,"AFLAC INC",1449,4977,"001055102",1990
"14","AIG",181,"American International Group Inc.",0.116504,1889,"AMERICAN INTERNATIONAL GROUP",1487,5272,"026874784",1990
"15","AJG",204,"Arthur J. Gallagher & Co.",0.103896,8973,"ARTHUR J GALLAGHER & CO",4973,354190,"363576109",1990
"16","ALK",495,"Alaska Air Group Inc.",0.016034,2417,"ALASKA AIR GROUP INC",1230,766421,"011659109",1990
"17","AMAT",79,"Applied Materials Inc.",0.269679,898,"APPLIED MATERIALS INC",1704,6951,"038222105",1990
"18","AMCR",336,"Amcor PLC",0.055787,6676,"AMCOR PLC",100243,1748790,"G0250X107",1990
"19","AMD",44,"Advanced Micro Devices Inc.",0.466626,8015,"ADVANCED MICRO DEVICES",1161,2488,"007903107",1990
"20","AME",249,"AMETEK Inc.",0.083157,553,"AMETEK INC",1598,1037868,"031100100",1990
"21","AMGN",54,"Amgen Inc.",0.37787,2795,"AMGEN INC",1602,318154,"031162100",1990
"22","AON",125,"Aon Plc Class A",0.172616,4178,"AON PLC",3221,315293,"G0403H108",1990
"23","AOS",481,"A. O. Smith Corporation",0.023217,5785,"SMITH (A.O.)",9771,91142,"831865209",1990
"24","APA",430,"APA Corp.",0.035244,9226,"APA CORP",1678,1841666,"03743Q108",1990
"25","APD",140,"Air Products and Chemicals Inc.",0.157014,7340,"AIR PRODUCTS & CHEMICALS INC",1209,2969,"009158106",1990
"26","APH",162,"Amphenol Corporation Class A",0.131769,6178,"AMPHENOL CORP",14282,820313,"032095101",1990
"27","ATO",359,"Atmos Energy Corporation",0.048421,6008,"ATMOS ENERGY CORP",4383,731802,"049560105",1990
"28","AVY",375,"Avery Dennison Corporation",0.045512,5543,"AVERY DENNISON CORP",1913,8818,"053611109",1990
"29","AXP",80,"American Express Company",0.268189,137,"AMERICAN EXPRESS CO",1447,4962,"025816109",1990
"30","AZO",174,"AutoZone Inc.",0.123963,5631,"AUTOZONE INC",23809,866787,"053332102",1990
"31","BA",82,"Boeing Company",0.263344,4083,"BOEING CO",2285,12927,"097023105",1990
"32","BAC",25,"Bank of America Corp",0.67934,3811,"BANK OF AMERICA CORP",7647,70858,"060505104",1990
"33","BALL",291,"Ball Corporation",0.067598,6515,"BALL CORP",1988,9389,"058498106",1990
"34","BAX",244,"Baxter International Inc.",0.08598,7682,"BAXTER INTERNATIONAL INC",2086,10456,"071813109",1990
"35","BBWI",469,"Bath & Body Works Inc.",0.025604,9610,"BATH & BODY WORKS INC",6733,701985,"070830104",1990
"36","BBY",384,"Best Buy Co. Inc.",0.043809,8634,"BEST BUY CO INC",2184,764478,"086516101",1990
"37","BDX",108,"Becton Dickinson and Company",0.200145,3849,"BECTON DICKINSON & CO",2111,10795,"075887109",1990
"38","BEN",486,"Franklin Resources Inc.",0.02168,3740,"FRANKLIN RESOURCES INC",4885,38777,"354613101",1990
"39","BF.B",412,"Brown-Forman Corporation Class B",0.039142,7591,"BROWN FORMAN CORP",2435,14693,"115637209",1990
"40","BIIB",238,"Biogen Inc.",0.088644,1308,"BIOGEN INC",24468,875045,"09062X103",1990
"41","BIO",437,"Bio-Rad Laboratories Inc. Class A",0.033925,4368,"BIO-RAD LABORATORIES INC",2220,12208,"090572207",1990
"42","BK",229,"Bank of New York Mellon Corp",0.091899,444,"BANK OF NEW YORK MELLON CORP",2019,1390777,"064058100",1990
"43","BMY",45,"Bristol-Myers Squibb Company",0.452471,2595,"BRISTOL-MYERS SQUIBB CO",2403,14272,"110122108",1990
"44","BRK.B",7,"Berkshire Hathaway Inc. Class B",1.532969,5999,"BERKSHIRE HATHAWAY",2176,1067983,"084670702",1990
"45","BRO",392,"Brown & Brown Inc.",0.042346,9155,"BROWN & BROWN INC",15417,79282,"115236101",1990
"46","C",72,"Citigroup Inc.",0.285813,143,"CITIGROUP INC",3243,831001,"172967424",1990
"47","CAG",365,"Conagra Brands Inc.",0.047221,8789,"CONAGRA BRANDS INC",3362,23217,"205887102",1990
"48","CAH",360,"Cardinal Health Inc.",0.048346,2315,"CARDINAL HEALTH INC",2751,721371,"14149Y108",1990
"49","CAT",74,"Caterpillar Inc.",0.283866,1597,"CATERPILLAR INC",2817,18230,"149123101",1990
"50","CCL",465,"Carnival Corporation",0.026447,1636,"CARNIVAL CORPORATION & PLC",13498,815097,"143658300",1990
"51","CDNS",150,"Cadence Design Systems Inc.",0.14629,6435,"CADENCE DESIGN SYSTEMS INC",13421,813672,"127387108",1990
"52","CHD",314,"Church & Dwight Co. Inc.",0.061337,9525,"CHURCH & DWIGHT INC",3026,313927,"171340102",1990
"53","CI",85,"Cigna Corporation",0.249772,2328,"CIGNA CORP",2547,1739940,"125523100",1990
"54","CINF",404,"Cincinnati Financial Corporation",0.040869,7808,"CINCINNATI FINANCIAL CORP",14824,20286,"172062101",1990
"55","CL",110,"Colgate-Palmolive Company",0.195103,706,"COLGATE-PALMOLIVE CO",3170,21665,"194162103",1990
"56","CLX",350,"Clorox Company",0.050881,5565,"CLOROX CO/DE",3121,21076,"189054109",1990
"57","CMA",450,"Comerica Incorporated",0.029365,6267,"COMERICA INC",3231,28412,"200340107",1990
"58","CMCSA",39,"Comcast Corporation Class A",0.488528,780,"COMCAST CORP",3226,1166691,"20030N101",1990
"59","CMI",232,"Cummins Inc.",0.090485,2662,"CUMMINS INC",3650,26172,"231021106",1990
"60","CMS",328,"CMS Energy Corporation",0.057698,7647,"CMS ENERGY CORP",3439,811156,"125896100",1990
"61","CNP",330,"CenterPoint Energy Inc.",0.057561,879,"CENTERPOINT ENERGY INC",5742,1130310,"15189T107",1990
"62","COO",372,"Cooper Companies Inc.",0.046084,2667,"COOPER COS INC (THE)",3504,711404,"216648402",1990
"63","COP",62,"ConocoPhillips",0.355275,6163,"CONOCOPHILLIPS",8549,1163165,"20825C104",1990
"64","CPB",453,"Campbell Soup Company",0.028985,4529,"CAMPBELL SOUP CO",2663,16732,"134429109",1990
