"","ticker","Rank","Company","Weight","X","conm","gvkey","cik","cusip","fyear"
"1","AAL",467,"American Airlines Group Inc.",0.026195,7661,"AMERICAN AIRLINES GROUP INC",1045,6201,"02376R102",1991
"2","AAPL",1,"Apple Inc.",7.13518,3061,"APPLE INC",1690,320193,"037833100",1991
"3","ABMD",413,"ABIOMED Inc.",0.038389,9029,"ABIOMED INC",13619,815094,"003654100",1991
"4","ABT",34,"Abbott Laboratories",0.551666,4658,"ABBOTT LABORATORIES",1078,1800,"002824100",1991
"5","ADBE",29,"Adobe Incorporated",0.561778,3081,"ADOBE INC",12540,796343,"00724F101",1991
"6","ADI",84,"Analog Devices Inc.",0.259498,9463,"ANALOG DEVICES INC",1632,6281,"032654105",1991
"7","ADM",158,"Archer-Daniels-Midland Company",0.135102,2637,"ARCHER-DANIELS-MIDLAND CO",1722,7084,"039483102",1991
"8","ADP",71,"Automatic Data Processing Inc.",0.29231,8489,"AUTOMATIC DATA PROCESSING",1891,8670,"053015103",1991
"9","ADSK",156,"Autodesk Inc.",0.137083,5180,"AUTODESK INC",1878,769397,"052769106",1991
"10","AEE",286,"Ameren Corporation",0.068674,6816,"AMEREN CORP",10860,1002910,"023608102",1991
"11","AEP",149,"American Electric Power Company Inc.",0.146644,2379,"AMERICAN ELECTRIC POWER CO",1440,4904,"025537101",1991
"12","AES",390,"AES Corporation",0.042682,9033,"AES CORP (THE)",24216,874761,"00130H105",1991
"13","AFL",211,"Aflac Incorporated",0.10194,326,"AFLAC INC",1449,4977,"001055102",1991
"14","AIG",181,"American International Group Inc.",0.116504,4258,"AMERICAN INTERNATIONAL GROUP",1487,5272,"026874784",1991
"15","AJG",204,"Arthur J. Gallagher & Co.",0.103896,8953,"ARTHUR J GALLAGHER & CO",4973,354190,"363576109",1991
"16","ALK",495,"Alaska Air Group Inc.",0.016034,9236,"ALASKA AIR GROUP INC",1230,766421,"011659109",1991
"17","AMAT",79,"Applied Materials Inc.",0.269679,1098,"APPLIED MATERIALS INC",1704,6951,"038222105",1991
"18","AMCR",336,"Amcor PLC",0.055787,160,"AMCOR PLC",100243,1748790,"G0250X107",1991
"19","AMD",44,"Advanced Micro Devices Inc.",0.466626,8716,"ADVANCED MICRO DEVICES",1161,2488,"007903107",1991
"20","AME",249,"AMETEK Inc.",0.083157,4054,"AMETEK INC",1598,1037868,"031100100",1991
"21","AMGN",54,"Amgen Inc.",0.37787,370,"AMGEN INC",1602,318154,"031162100",1991
"22","AON",125,"Aon Plc Class A",0.172616,4231,"AON PLC",3221,315293,"G0403H108",1991
"23","AOS",481,"A. O. Smith Corporation",0.023217,6523,"SMITH (A.O.)",9771,91142,"831865209",1991
"24","APA",430,"APA Corp.",0.035244,582,"APA CORP",1678,1841666,"03743Q108",1991
"25","APD",140,"Air Products and Chemicals Inc.",0.157014,3049,"AIR PRODUCTS & CHEMICALS INC",1209,2969,"009158106",1991
"26","APH",162,"Amphenol Corporation Class A",0.131769,7710,"AMPHENOL CORP",14282,820313,"032095101",1991
"27","ATO",359,"Atmos Energy Corporation",0.048421,6207,"ATMOS ENERGY CORP",4383,731802,"049560105",1991
"28","AVY",375,"Avery Dennison Corporation",0.045512,2076,"AVERY DENNISON CORP",1913,8818,"053611109",1991
"29","AXP",80,"American Express Company",0.268189,4445,"AMERICAN EXPRESS CO",1447,4962,"025816109",1991
"30","AZO",174,"AutoZone Inc.",0.123963,27,"AUTOZONE INC",23809,866787,"053332102",1991
"31","BA",82,"Boeing Company",0.263344,2201,"BOEING CO",2285,12927,"097023105",1991
"32","BAC",25,"Bank of America Corp",0.67934,312,"BANK OF AMERICA CORP",7647,70858,"060505104",1991
"33","BALL",291,"Ball Corporation",0.067598,5844,"BALL CORP",1988,9389,"058498106",1991
"34","BAX",244,"Baxter International Inc.",0.08598,6041,"BAXTER INTERNATIONAL INC",2086,10456,"071813109",1991
"35","BBWI",469,"Bath & Body Works Inc.",0.025604,1318,"BATH & BODY WORKS INC",6733,701985,"070830104",1991
"36","BBY",384,"Best Buy Co. Inc.",0.043809,1007,"BEST BUY CO INC",2184,764478,"086516101",1991
"37","BDX",108,"Becton Dickinson and Company",0.200145,817,"BECTON DICKINSON & CO",2111,10795,"075887109",1991
"38","BEN",486,"Franklin Resources Inc.",0.02168,8612,"FRANKLIN RESOURCES INC",4885,38777,"354613101",1991
"39","BF.B",412,"Brown-Forman Corporation Class B",0.039142,3134,"BROWN FORMAN CORP",2435,14693,"115637209",1991
"40","BIIB",238,"Biogen Inc.",0.088644,6312,"BIOGEN INC",24468,875045,"09062X103",1991
"41","BIO",437,"Bio-Rad Laboratories Inc. Class A",0.033925,9486,"BIO-RAD LABORATORIES INC",2220,12208,"090572207",1991
"42","BK",229,"Bank of New York Mellon Corp",0.091899,5611,"BANK OF NEW YORK MELLON CORP",2019,1390777,"064058100",1991
"43","BMY",45,"Bristol-Myers Squibb Company",0.452471,5609,"BRISTOL-MYERS SQUIBB CO",2403,14272,"110122108",1991
"44","BRK.B",7,"Berkshire Hathaway Inc. Class B",1.532969,3813,"BERKSHIRE HATHAWAY",2176,1067983,"084670702",1991
"45","BRO",392,"Brown & Brown Inc.",0.042346,9506,"BROWN & BROWN INC",15417,79282,"115236101",1991
"46","BSX",128,"Boston Scientific Corporation",0.17189,6928,"BOSTON SCIENTIFIC CORP",25279,885725,"101137107",1991
"47","C",72,"Citigroup Inc.",0.285813,7370,"CITIGROUP INC",3243,831001,"172967424",1991
"48","CAG",365,"Conagra Brands Inc.",0.047221,1767,"CONAGRA BRANDS INC",3362,23217,"205887102",1991
"49","CAH",360,"Cardinal Health Inc.",0.048346,3251,"CARDINAL HEALTH INC",2751,721371,"14149Y108",1991
"50","CAT",74,"Caterpillar Inc.",0.283866,4496,"CATERPILLAR INC",2817,18230,"149123101",1991
"51","CCL",465,"Carnival Corporation",0.026447,3126,"CARNIVAL CORPORATION & PLC",13498,815097,"143658300",1991
"52","CDNS",150,"Cadence Design Systems Inc.",0.14629,2088,"CADENCE DESIGN SYSTEMS INC",13421,813672,"127387108",1991
"53","CHD",314,"Church & Dwight Co. Inc.",0.061337,4134,"CHURCH & DWIGHT INC",3026,313927,"171340102",1991
"54","CI",85,"Cigna Corporation",0.249772,6173,"CIGNA CORP",2547,1739940,"125523100",1991
"55","CINF",404,"Cincinnati Financial Corporation",0.040869,4249,"CINCINNATI FINANCIAL CORP",14824,20286,"172062101",1991
"56","CL",110,"Colgate-Palmolive Company",0.195103,6144,"COLGATE-PALMOLIVE CO",3170,21665,"194162103",1991
"57","CLX",350,"Clorox Company",0.050881,7638,"CLOROX CO/DE",3121,21076,"189054109",1991
"58","CMA",450,"Comerica Incorporated",0.029365,7985,"COMERICA INC",3231,28412,"200340107",1991
"59","CMCSA",39,"Comcast Corporation Class A",0.488528,3164,"COMCAST CORP",3226,1166691,"20030N101",1991
"60","CMI",232,"Cummins Inc.",0.090485,510,"CUMMINS INC",3650,26172,"231021106",1991
"61","CMS",328,"CMS Energy Corporation",0.057698,8950,"CMS ENERGY CORP",3439,811156,"125896100",1991
"62","CNP",330,"CenterPoint Energy Inc.",0.057561,3971,"CENTERPOINT ENERGY INC",5742,1130310,"15189T107",1991
"63","COO",372,"Cooper Companies Inc.",0.046084,8881,"COOPER COS INC (THE)",3504,711404,"216648402",1991
"64","COP",62,"ConocoPhillips",0.355275,4552,"CONOCOPHILLIPS",8549,1163165,"20825C104",1991
"65","CPB",453,"Campbell Soup Company",0.028985,8408,"CAMPBELL SOUP CO",2663,16732,"134429109",1991
"66","CSCO",35,"Cisco Systems Inc.",0.541178,9912,"CISCO SYSTEMS INC",20779,858877,"17275R102",1991
"67","CSX",106,"CSX Corporation",0.202725,1933,"CSX CORP",2574,277948,"126408103",1991
"68","CTAS",195,"Cintas Corporation",0.107858,6929,"CINTAS CORP",3062,723254,"172908105",1991
"69","CTRA",285,"Coterra Energy Inc.",0.068768,1453,"COTERRA ENERGY INC",20548,858470,"127097103",1991
"70","CVS",58,"CVS Health Corporation",0.362286,6240,"CVS HEALTH CORP",7241,64803,"126650100",1991
"71","CVX",16,"Chevron Corporation",0.906813,8654,"CHEVRON CORP",2991,93410,"166764100",1991
"72","D",111,"Dominion Energy Inc",0.192481,1097,"DOMINION ENERGY INC",4029,715957,"25746U109",1991
"73","DAL",326,"Delta Air Lines Inc.",0.05867,6406,"DELTA AIR LINES INC",3851,27904,"247361702",1991
"74","DD",241,"DuPont de Nemours Inc.",0.08733,198,"DUPONT DE NEMOURS INC",4060,1666700,"26614N102",1991
"75","DE",78,"Deere & Company",0.270299,5994,"DEERE & CO",3835,315189,"244199105",1991
"76","DG",134,"Dollar General Corporation",0.16629,5253,"DOLLAR GENERAL CORP",4016,29534,"256677105",1991
"77","DHI",280,"D.R. Horton Inc.",0.069666,8277,"D R HORTON INC",25340,882184,"23331A109",1991
"78","DHR",37,"Danaher Corporation",0.535857,6728,"DANAHER CORP",3735,313616,"235851102",1991
"79","DIS",32,"Walt Disney Company",0.553138,9640,"DISNEY (WALT) CO",3980,1744489,"254687106",1991
"80","DOV",341,"Dover Corporation",0.054385,3228,"DOVER CORP",4058,29905,"260003108",1991
"81","DRE",293,"Duke Realty Corporation",0.067291,4662,"DUKE REALTY CORP",13510,783280,"264411505",1991
"82","DTE",275,"DTE Energy Company",0.072536,6227,"DTE ENERGY CO",3897,936340,"233331107",1991
"83","DUK",87,"Duke Energy Corporation",0.244759,52,"DUKE ENERGY CORP",4093,1326160,"26441C204",1991
"84","DVN",194,"Devon Energy Corporation",0.107926,368,"DEVON ENERGY CORP",14934,1090012,"25179M103",1991
"85","DXC",484,"DXC Technology Co.",0.022349,1151,"DXC TECHNOLOGY CO",3336,1688568,"23355L106",1991
