"","ticker","Rank","Company","Weight","X","conm","gvkey","cik","cusip","fyear"
"1","AAL",467,"American Airlines Group Inc.",0.026195,10861,"AMERICAN AIRLINES GROUP INC",1045,6201,"02376R102",1993
"2","AAPL",1,"Apple Inc.",7.13518,11108,"APPLE INC",1690,320193,"037833100",1993
"3","ABMD",413,"ABIOMED Inc.",0.038389,8201,"ABIOMED INC",13619,815094,"003654100",1993
"4","ABT",34,"Abbott Laboratories",0.551666,297,"ABBOTT LABORATORIES",1078,1800,"002824100",1993
"5","ADBE",29,"Adobe Incorporated",0.561778,4224,"ADOBE INC",12540,796343,"00724F101",1993
"6","ADI",84,"Analog Devices Inc.",0.259498,6972,"ANALOG DEVICES INC",1632,6281,"032654105",1993
"7","ADM",158,"Archer-Daniels-Midland Company",0.135102,6600,"ARCHER-DANIELS-MIDLAND CO",1722,7084,"039483102",1993
"8","ADP",71,"Automatic Data Processing Inc.",0.29231,8607,"AUTOMATIC DATA PROCESSING",1891,8670,"053015103",1993
"9","ADSK",156,"Autodesk Inc.",0.137083,9508,"AUTODESK INC",1878,769397,"052769106",1993
"10","AEE",286,"Ameren Corporation",0.068674,9717,"AMEREN CORP",10860,1002910,"023608102",1993
"11","AEP",149,"American Electric Power Company Inc.",0.146644,7512,"AMERICAN ELECTRIC POWER CO",1440,4904,"025537101",1993
"12","AES",390,"AES Corporation",0.042682,4328,"AES CORP (THE)",24216,874761,"00130H105",1993
"13","AFL",211,"Aflac Incorporated",0.10194,3263,"AFLAC INC",1449,4977,"001055102",1993
"14","AIG",181,"American International Group Inc.",0.116504,9411,"AMERICAN INTERNATIONAL GROUP",1487,5272,"026874784",1993
"15","AJG",204,"Arthur J. Gallagher & Co.",0.103896,5075,"ARTHUR J GALLAGHER & CO",4973,354190,"363576109",1993
"16","ALB",255,"Albemarle Corporation",0.082195,3534,"ALBEMARLE CORP",29751,915913,"012653101",1993
"17","ALK",495,"Alaska Air Group Inc.",0.016034,192,"ALASKA AIR GROUP INC",1230,766421,"011659109",1993
"18","ALL",228,"Allstate Corporation",0.092275,6445,"ALLSTATE CORP",28349,899051,"020002101",1993
"19","AMAT",79,"Applied Materials Inc.",0.269679,3952,"APPLIED MATERIALS INC",1704,6951,"038222105",1993
"20","AMCR",336,"Amcor PLC",0.055787,9029,"AMCOR PLC",100243,1748790,"G0250X107",1993
