"","ticker","Rank","Company","Weight","X","conm","gvkey","cik","cusip","fyear"
"1","AAL",467,"American Airlines Group Inc.",0.026195,9686,"AMERICAN AIRLINES GROUP INC",1045,6201,"02376R102",1994
"2","AAPL",1,"Apple Inc.",7.13518,2528,"APPLE INC",1690,320193,"037833100",1994
"3","ABC",310,"AmerisourceBergen Corporation",0.0622,9689,"AMERISOURCEBERGEN CORP",31673,1140859,"03073E105",1994
"4","ABMD",413,"ABIOMED Inc.",0.038389,991,"ABIOMED INC",13619,815094,"003654100",1994
"5","ABT",34,"Abbott Laboratories",0.551666,3339,"ABBOTT LABORATORIES",1078,1800,"002824100",1994
"6","ADBE",29,"Adobe Incorporated",0.561778,5928,"ADOBE INC",12540,796343,"00724F101",1994
"7","ADI",84,"Analog Devices Inc.",0.259498,3966,"ANALOG DEVICES INC",1632,6281,"032654105",1994
"8","ADM",158,"Archer-Daniels-Midland Company",0.135102,387,"ARCHER-DANIELS-MIDLAND CO",1722,7084,"039483102",1994
"9","ADP",71,"Automatic Data Processing Inc.",0.29231,1202,"AUTOMATIC DATA PROCESSING",1891,8670,"053015103",1994
"10","ADSK",156,"Autodesk Inc.",0.137083,4770,"AUTODESK INC",1878,769397,"052769106",1994
"11","AEE",286,"Ameren Corporation",0.068674,4462,"AMEREN CORP",10860,1002910,"023608102",1994
"12","AEP",149,"American Electric Power Company Inc.",0.146644,1571,"AMERICAN ELECTRIC POWER CO",1440,4904,"025537101",1994
"13","AES",390,"AES Corporation",0.042682,8536,"AES CORP (THE)",24216,874761,"00130H105",1994
"14","AFL",211,"Aflac Incorporated",0.10194,5407,"AFLAC INC",1449,4977,"001055102",1994
"15","AIG",181,"American International Group Inc.",0.116504,7048,"AMERICAN INTERNATIONAL GROUP",1487,5272,"026874784",1994
"16","AJG",204,"Arthur J. Gallagher & Co.",0.103896,2262,"ARTHUR J GALLAGHER & CO",4973,354190,"363576109",1994
"17","ALB",255,"Albemarle Corporation",0.082195,10286,"ALBEMARLE CORP",29751,915913,"012653101",1994
"18","ALK",495,"Alaska Air Group Inc.",0.016034,6601,"ALASKA AIR GROUP INC",1230,766421,"011659109",1994
"19","ALL",228,"Allstate Corporation",0.092275,4266,"ALLSTATE CORP",28349,899051,"020002101",1994
"20","AMAT",79,"Applied Materials Inc.",0.269679,2752,"APPLIED MATERIALS INC",1704,6951,"038222105",1994
"21","AMCR",336,"Amcor PLC",0.055787,3071,"AMCOR PLC",100243,1748790,"G0250X107",1994
"22","AMD",44,"Advanced Micro Devices Inc.",0.466626,3806,"ADVANCED MICRO DEVICES",1161,2488,"007903107",1994
"23","AME",249,"AMETEK Inc.",0.083157,7474,"AMETEK INC",1598,1037868,"031100100",1994
"24","AMGN",54,"Amgen Inc.",0.37787,1367,"AMGEN INC",1602,318154,"031162100",1994
"25","AON",125,"Aon Plc Class A",0.172616,1281,"AON PLC",3221,315293,"G0403H108",1994
"26","AOS",481,"A. O. Smith Corporation",0.023217,702,"SMITH (A.O.)",9771,91142,"831865209",1994
"27","APA",430,"APA Corp.",0.035244,10606,"APA CORP",1678,1841666,"03743Q108",1994
"28","APD",140,"Air Products and Chemicals Inc.",0.157014,896,"AIR PRODUCTS & CHEMICALS INC",1209,2969,"009158106",1994
"29","APH",162,"Amphenol Corporation Class A",0.131769,8874,"AMPHENOL CORP",14282,820313,"032095101",1994
"30","ATO",359,"Atmos Energy Corporation",0.048421,7427,"ATMOS ENERGY CORP",4383,731802,"049560105",1994
"31","AVB",254,"AvalonBay Communities Inc.",0.0823,3580,"AVALONBAY COMMUNITIES INC",29875,915912,"053484101",1994
"32","AVY",375,"Avery Dennison Corporation",0.045512,608,"AVERY DENNISON CORP",1913,8818,"053611109",1994
"33","AXP",80,"American Express Company",0.268189,10706,"AMERICAN EXPRESS CO",1447,4962,"025816109",1994
"34","AZO",174,"AutoZone Inc.",0.123963,2173,"AUTOZONE INC",23809,866787,"053332102",1994
"35","BA",82,"Boeing Company",0.263344,3987,"BOEING CO",2285,12927,"097023105",1994
"36","BAC",25,"Bank of America Corp",0.67934,1681,"BANK OF AMERICA CORP",7647,70858,"060505104",1994
"37","BALL",291,"Ball Corporation",0.067598,6399,"BALL CORP",1988,9389,"058498106",1994
"38","BAX",244,"Baxter International Inc.",0.08598,10301,"BAXTER INTERNATIONAL INC",2086,10456,"071813109",1994
"39","BBWI",469,"Bath & Body Works Inc.",0.025604,7501,"BATH & BODY WORKS INC",6733,701985,"070830104",1994
"40","BBY",384,"Best Buy Co. Inc.",0.043809,9967,"BEST BUY CO INC",2184,764478,"086516101",1994
"41","BDX",108,"Becton Dickinson and Company",0.200145,7737,"BECTON DICKINSON & CO",2111,10795,"075887109",1994
"42","BEN",486,"Franklin Resources Inc.",0.02168,3098,"FRANKLIN RESOURCES INC",4885,38777,"354613101",1994
"43","BF.B",412,"Brown-Forman Corporation Class B",0.039142,7398,"BROWN FORMAN CORP",2435,14693,"115637209",1994
"44","BIIB",238,"Biogen Inc.",0.088644,3648,"BIOGEN INC",24468,875045,"09062X103",1994
"45","BIO",437,"Bio-Rad Laboratories Inc. Class A",0.033925,7752,"BIO-RAD LABORATORIES INC",2220,12208,"090572207",1994
"46","BK",229,"Bank of New York Mellon Corp",0.091899,4683,"BANK OF NEW YORK MELLON CORP",2019,1390777,"064058100",1994
"47","BMY",45,"Bristol-Myers Squibb Company",0.452471,1689,"BRISTOL-MYERS SQUIBB CO",2403,14272,"110122108",1994
"48","BRK.B",7,"Berkshire Hathaway Inc. Class B",1.532969,10520,"BERKSHIRE HATHAWAY",2176,1067983,"084670702",1994
"49","BRO",392,"Brown & Brown Inc.",0.042346,2939,"BROWN & BROWN INC",15417,79282,"115236101",1994
"50","BSX",128,"Boston Scientific Corporation",0.17189,9953,"BOSTON SCIENTIFIC CORP",25279,885725,"101137107",1994
"51","BWA",462,"BorgWarner Inc.",0.026752,5415,"BORGWARNER INC",28742,908255,"099724106",1994
"52","C",72,"Citigroup Inc.",0.285813,6353,"CITIGROUP INC",3243,831001,"172967424",1994
"53","CAG",365,"Conagra Brands Inc.",0.047221,6837,"CONAGRA BRANDS INC",3362,23217,"205887102",1994
"54","CAH",360,"Cardinal Health Inc.",0.048346,11837,"CARDINAL HEALTH INC",2751,721371,"14149Y108",1994
"55","CAT",74,"Caterpillar Inc.",0.283866,10700,"CATERPILLAR INC",2817,18230,"149123101",1994
"56","CB",96,"Chubb Limited",0.226527,4204,"CHUBB LTD",28034,896159,"H1467J104",1994
"57","CCL",465,"Carnival Corporation",0.026447,7608,"CARNIVAL CORPORATION & PLC",13498,815097,"143658300",1994
"58","CDNS",150,"Cadence Design Systems Inc.",0.14629,1286,"CADENCE DESIGN SYSTEMS INC",13421,813672,"127387108",1994
"59","CDW",279,"CDW Corp.",0.070622,8684,"CDW CORP",28320,1402057,"12514G108",1994
"60","CHD",314,"Church & Dwight Co. Inc.",0.061337,1492,"CHURCH & DWIGHT INC",3026,313927,"171340102",1994
"61","CI",85,"Cigna Corporation",0.249772,9924,"CIGNA CORP",2547,1739940,"125523100",1994
"62","CINF",404,"Cincinnati Financial Corporation",0.040869,8025,"CINCINNATI FINANCIAL CORP",14824,20286,"172062101",1994
"63","CL",110,"Colgate-Palmolive Company",0.195103,9450,"COLGATE-PALMOLIVE CO",3170,21665,"194162103",1994
"64","CLX",350,"Clorox Company",0.050881,4094,"CLOROX CO/DE",3121,21076,"189054109",1994
"65","CMA",450,"Comerica Incorporated",0.029365,10771,"COMERICA INC",3231,28412,"200340107",1994
"66","CMCSA",39,"Comcast Corporation Class A",0.488528,7323,"COMCAST CORP",3226,1166691,"20030N101",1994
"67","CMI",232,"Cummins Inc.",0.090485,8513,"CUMMINS INC",3650,26172,"231021106",1994
"68","CMS",328,"CMS Energy Corporation",0.057698,4777,"CMS ENERGY CORP",3439,811156,"125896100",1994
"69","CNP",330,"CenterPoint Energy Inc.",0.057561,11715,"CENTERPOINT ENERGY INC",5742,1130310,"15189T107",1994
"70","COF",176,"Capital One Financial Corp",0.121903,7895,"CAPITAL ONE FINANCIAL CORP",30990,927628,"14040H105",1994
"71","COO",372,"Cooper Companies Inc.",0.046084,6327,"COOPER COS INC (THE)",3504,711404,"216648402",1994
"72","COP",62,"ConocoPhillips",0.355275,4463,"CONOCOPHILLIPS",8549,1163165,"20825C104",1994
"73","COST",24,"Costco Wholesale Corporation",0.698561,6673,"COSTCO WHOLESALE CORP",29028,909832,"22160K105",1994
"74","CPB",453,"Campbell Soup Company",0.028985,6438,"CAMPBELL SOUP CO",2663,16732,"134429109",1994
"75","CPRT",263,"Copart Inc.",0.07889,6104,"COPART INC",29901,900075,"217204106",1994
"76","CPT",393,"Camden Property Trust",0.042344,1369,"CAMDEN PROPERTY TRUST",28629,906345,"133131102",1994
"77","CSCO",35,"Cisco Systems Inc.",0.541178,9420,"CISCO SYSTEMS INC",20779,858877,"17275R102",1994
"78","CSX",106,"CSX Corporation",0.202725,10841,"CSX CORP",2574,277948,"126408103",1994
"79","CTAS",195,"Cintas Corporation",0.107858,4256,"CINTAS CORP",3062,723254,"172908105",1994
"80","CTRA",285,"Coterra Energy Inc.",0.068768,3512,"COTERRA ENERGY INC",20548,858470,"127097103",1994
"81","CTXS",423,"Citrix Systems Inc.",0.036408,11207,"CITRIX SYSTEMS INC",61676,877890,"177376100",1994
"82","CVS",58,"CVS Health Corporation",0.362286,8034,"CVS HEALTH CORP",7241,64803,"126650100",1994
"83","CVX",16,"Chevron Corporation",0.906813,1053,"CHEVRON CORP",2991,93410,"166764100",1994
"84","D",111,"Dominion Energy Inc",0.192481,6001,"DOMINION ENERGY INC",4029,715957,"25746U109",1994
"85","DAL",326,"Delta Air Lines Inc.",0.05867,9080,"DELTA AIR LINES INC",3851,27904,"247361702",1994
"86","DD",241,"DuPont de Nemours Inc.",0.08733,5534,"DUPONT DE NEMOURS INC",4060,1666700,"26614N102",1994
"87","DE",78,"Deere & Company",0.270299,2209,"DEERE & CO",3835,315189,"244199105",1994
"88","DG",134,"Dollar General Corporation",0.16629,432,"DOLLAR GENERAL CORP",4016,29534,"256677105",1994
"89","DHI",280,"D.R. Horton Inc.",0.069666,734,"D R HORTON INC",25340,882184,"23331A109",1994
"90","DHR",37,"Danaher Corporation",0.535857,5400,"DANAHER CORP",3735,313616,"235851102",1994
"91","DIS",32,"Walt Disney Company",0.553138,11628,"DISNEY (WALT) CO",3980,1744489,"254687106",1994
"92","DISH",502,"DISH Network Corporation Class A",0.0123,10654,"DISH NETWORK CORP",60900,1001082,"25470M109",1994
