"","ticker","Rank","Company","Weight","X","conm","gvkey","cik","cusip","fyear"
"1","AAL",467,"American Airlines Group Inc.",0.026195,6975,"AMERICAN AIRLINES GROUP INC",1045,6201,"02376R102",1996
"2","AAPL",1,"Apple Inc.",7.13518,9267,"APPLE INC",1690,320193,"037833100",1996
"3","ABC",310,"AmerisourceBergen Corporation",0.0622,366,"AMERISOURCEBERGEN CORP",31673,1140859,"03073E105",1996
"4","ABMD",413,"ABIOMED Inc.",0.038389,2110,"ABIOMED INC",13619,815094,"003654100",1996
"5","ABT",34,"Abbott Laboratories",0.551666,6195,"ABBOTT LABORATORIES",1078,1800,"002824100",1996
"6","ADBE",29,"Adobe Incorporated",0.561778,12444,"ADOBE INC",12540,796343,"00724F101",1996
"7","ADI",84,"Analog Devices Inc.",0.259498,5952,"ANALOG DEVICES INC",1632,6281,"032654105",1996
"8","ADM",158,"Archer-Daniels-Midland Company",0.135102,5951,"ARCHER-DANIELS-MIDLAND CO",1722,7084,"039483102",1996
"9","ADP",71,"Automatic Data Processing Inc.",0.29231,1630,"AUTOMATIC DATA PROCESSING",1891,8670,"053015103",1996
"10","ADSK",156,"Autodesk Inc.",0.137083,8853,"AUTODESK INC",1878,769397,"052769106",1996
"11","AEE",286,"Ameren Corporation",0.068674,859,"AMEREN CORP",10860,1002910,"023608102",1996
"12","AEP",149,"American Electric Power Company Inc.",0.146644,6876,"AMERICAN ELECTRIC POWER CO",1440,4904,"025537101",1996
"13","AES",390,"AES Corporation",0.042682,11928,"AES CORP (THE)",24216,874761,"00130H105",1996
"14","AFL",211,"Aflac Incorporated",0.10194,8629,"AFLAC INC",1449,4977,"001055102",1996
"15","AIG",181,"American International Group Inc.",0.116504,215,"AMERICAN INTERNATIONAL GROUP",1487,5272,"026874784",1996
"16","AJG",204,"Arthur J. Gallagher & Co.",0.103896,6437,"ARTHUR J GALLAGHER & CO",4973,354190,"363576109",1996
"17","ALB",255,"Albemarle Corporation",0.082195,6685,"ALBEMARLE CORP",29751,915913,"012653101",1996
"18","ALK",495,"Alaska Air Group Inc.",0.016034,10774,"ALASKA AIR GROUP INC",1230,766421,"011659109",1996
"19","ALL",228,"Allstate Corporation",0.092275,4761,"ALLSTATE CORP",28349,899051,"020002101",1996
"20","AMAT",79,"Applied Materials Inc.",0.269679,3195,"APPLIED MATERIALS INC",1704,6951,"038222105",1996
"21","AMCR",336,"Amcor PLC",0.055787,8129,"AMCOR PLC",100243,1748790,"G0250X107",1996
"22","AMD",44,"Advanced Micro Devices Inc.",0.466626,7321,"ADVANCED MICRO DEVICES",1161,2488,"007903107",1996
"23","AME",249,"AMETEK Inc.",0.083157,5921,"AMETEK INC",1598,1037868,"031100100",1996
"24","AMGN",54,"Amgen Inc.",0.37787,9578,"AMGEN INC",1602,318154,"031162100",1996
"25","AMT",61,"American Tower Corporation",0.359319,47,"AMERICAN TOWER CORP",105365,1053507,"03027X100",1996
"26","AMZN",3,"Amazon.com Inc.",3.404451,4335,"AMAZON.COM INC",64768,1018724,"023135106",1996
"27","ANSS",281,"ANSYS Inc.",0.069301,577,"ANSYS INC",63080,1013462,"03662Q105",1996
"28","AON",125,"Aon Plc Class A",0.172616,2818,"AON PLC",3221,315293,"G0403H108",1996
"29","AOS",481,"A. O. Smith Corporation",0.023217,5720,"SMITH (A.O.)",9771,91142,"831865209",1996
"30","APA",430,"APA Corp.",0.035244,8638,"APA CORP",1678,1841666,"03743Q108",1996
"31","APD",140,"Air Products and Chemicals Inc.",0.157014,2822,"AIR PRODUCTS & CHEMICALS INC",1209,2969,"009158106",1996
"32","APH",162,"Amphenol Corporation Class A",0.131769,12397,"AMPHENOL CORP",14282,820313,"032095101",1996
"33","APTV",247,"Aptiv PLC",0.084527,11896,"APTIV PLC",118122,1521332,"G6095L109",1996
"34","ARE",284,"Alexandria Real Estate Equities Inc.",0.068773,10703,"ALEXANDRIA R E EQUITIES INC",64821,1035443,"015271109",1996
"35","ATO",359,"Atmos Energy Corporation",0.048421,11243,"ATMOS ENERGY CORP",4383,731802,"049560105",1996
"36","AVB",254,"AvalonBay Communities Inc.",0.0823,3723,"AVALONBAY COMMUNITIES INC",29875,915912,"053484101",1996
"37","AVY",375,"Avery Dennison Corporation",0.045512,10864,"AVERY DENNISON CORP",1913,8818,"053611109",1996
"38","AXP",80,"American Express Company",0.268189,1584,"AMERICAN EXPRESS CO",1447,4962,"025816109",1996
"39","AZO",174,"AutoZone Inc.",0.123963,2173,"AUTOZONE INC",23809,866787,"053332102",1996
"40","BA",82,"Boeing Company",0.263344,8312,"BOEING CO",2285,12927,"097023105",1996
"41","BAC",25,"Bank of America Corp",0.67934,6453,"BANK OF AMERICA CORP",7647,70858,"060505104",1996
"42","BALL",291,"Ball Corporation",0.067598,8684,"BALL CORP",1988,9389,"058498106",1996
"43","BAX",244,"Baxter International Inc.",0.08598,9562,"BAXTER INTERNATIONAL INC",2086,10456,"071813109",1996
"44","BBWI",469,"Bath & Body Works Inc.",0.025604,1867,"BATH & BODY WORKS INC",6733,701985,"070830104",1996
"45","BBY",384,"Best Buy Co. Inc.",0.043809,4728,"BEST BUY CO INC",2184,764478,"086516101",1996
"46","BDX",108,"Becton Dickinson and Company",0.200145,11717,"BECTON DICKINSON & CO",2111,10795,"075887109",1996
"47","BEN",486,"Franklin Resources Inc.",0.02168,11472,"FRANKLIN RESOURCES INC",4885,38777,"354613101",1996
"48","BF.B",412,"Brown-Forman Corporation Class B",0.039142,2662,"BROWN FORMAN CORP",2435,14693,"115637209",1996
"49","BIIB",238,"Biogen Inc.",0.088644,8229,"BIOGEN INC",24468,875045,"09062X103",1996
"50","BIO",437,"Bio-Rad Laboratories Inc. Class A",0.033925,2830,"BIO-RAD LABORATORIES INC",2220,12208,"090572207",1996
"51","BK",229,"Bank of New York Mellon Corp",0.091899,1042,"BANK OF NEW YORK MELLON CORP",2019,1390777,"064058100",1996
"52","BLK",77,"BlackRock Inc.",0.274243,9507,"BLACKROCK INC",124434,1364742,"09247X101",1996
"53","BMY",45,"Bristol-Myers Squibb Company",0.452471,4668,"BRISTOL-MYERS SQUIBB CO",2403,14272,"110122108",1996
"54","BRK.B",7,"Berkshire Hathaway Inc. Class B",1.532969,7126,"BERKSHIRE HATHAWAY",2176,1067983,"084670702",1996
"55","BRO",392,"Brown & Brown Inc.",0.042346,1646,"BROWN & BROWN INC",15417,79282,"115236101",1996
