"","ticker","tic","gvkey"
"1","AAPL","AAPL",1690
"2","MSFT","MSFT",12141
"3","AMZN","AMZN",64768
"4","GOOGL","GOOGL",160329
"5","BRK.B","BRK.B",2176
"6","UNH","UNH",10903
"7","NVDA","NVDA",117768
"8","JNJ","JNJ",6266
"9","XOM","XOM",4503
"10","PG","PG",8762
"11","V","V",179534
"12","JPM","JPM",2968
"13","CVX","CVX",2991
"14","HD","HD",5680
"15","MA","MA",160225
"16","PFE","PFE",8530
"17","LLY","LLY",6730
"18","KO","KO",3144
"19","PEP","PEP",8479
"20","COST","COST",29028
"21","BAC","BAC",7647
"22","TMO","TMO",10530
"23","MRK","MRK",7257
"24","AVGO","AVGO",180711
"25","ADBE","ADBE",12540
"26","MCD","MCD",7154
"27","ACN","ACN",143357
"28","DIS","DIS",3980
"29","VZ","VZ",2136
"30","ABT","ABT",1078
"31","CSCO","CSCO",20779
"32","WMT","WMT",11259
"33","DHR","DHR",3735
"34","CRM","CRM",157855
"35","CMCSA","CMCSA",3226
"36","NEE","NEE",4517
"37","QCOM","QCOM",24800
"38","TXN","TXN",10499
"39","WFC","WFC",8007
"40","AMD","AMD",1161
"41","BMY","BMY",2403
"42","PM","PM",179621
"43","LIN","LIN",25124
"44","INTC","INTC",6008
"45","NKE","NKE",7906
"46","UPS","UPS",10920
"47","UNP","UNP",10867
"48","RTX","RTX",10983
"49","T","T",9899
"50","AMGN","AMGN",1602
"51","HON","HON",1300
"52","SPGI","SPGI",7163
"53","INTU","INTU",27928
"54","CVS","CVS",7241
"55","MDT","MDT",7228
"56","LOW","LOW",6829
"57","AMT","AMT",105365
"58","COP","COP",8549
"59","ORCL","ORCL",12142
"60","IBM","IBM",6066
"61","MS","MS",12124
"62","ELV","ELV",145046
"63","GS","GS",114628
"64","SCHW","SCHW",13988
"65","LMT","LMT",6774
"66","ADP","ADP",1891
"67","C","C",3243
"68","NFLX","NFLX",147579
"69","CAT","CAT",2817
"70","SBUX","SBUX",25434
"71","PLD","PLD",29984
"72","BLK","BLK",124434
"73","DE","DE",3835
"74","AMAT","AMAT",1704
"75","AXP","AXP",1447
"76","BA","BA",2285
"77","MDLZ","MDLZ",142953
"78","ADI","ADI",1632
"79","CI","CI",2547
"80","ISRG","ISRG",136725
"81","DUK","DUK",4093
"82","GE","GE",5047
