"","ticker","tic","gvkey"
"1","AAPL","AAPL",1690
"2","MSFT","MSFT",12141
"3","AMZN","AMZN",64768
"4","BRK.B","BRK.B",2176
"5","UNH","UNH",10903
"6","JNJ","JNJ",6266
"7","XOM","XOM",4503
"8","PG","PG",8762
"9","JPM","JPM",2968
"10","CVX","CVX",2991
"11","HD","HD",5680
"12","PFE","PFE",8530
"13","LLY","LLY",6730
"14","KO","KO",3144
"15","PEP","PEP",8479
"16","COST","COST",29028
"17","BAC","BAC",7647
"18","TMO","TMO",10530
"19","MRK","MRK",7257
"20","ADBE","ADBE",12540
"21","MCD","MCD",7154
"22","DIS","DIS",3980
"23","VZ","VZ",2136
"24","ABT","ABT",1078
"25","CSCO","CSCO",20779
"26","WMT","WMT",11259
"27","DHR","DHR",3735
"28","CMCSA","CMCSA",3226
"29","NEE","NEE",4517
"30","QCOM","QCOM",24800
"31","TXN","TXN",10499
"32","WFC","WFC",8007
"33","AMD","AMD",1161
"34","BMY","BMY",2403
"35","LIN","LIN",25124
"36","INTC","INTC",6008
"37","NKE","NKE",7906
"38","UPS","UPS",10920
"39","UNP","UNP",10867
"40","RTX","RTX",10983
"41","T","T",9899
"42","AMGN","AMGN",1602
"43","HON","HON",1300
"44","SPGI","SPGI",7163
"45","INTU","INTU",27928
"46","CVS","CVS",7241
"47","MDT","MDT",7228
"48","LOW","LOW",6829
"49","COP","COP",8549
"50","ORCL","ORCL",12142
"51","IBM","IBM",6066
"52","MS","MS",12124
"53","SCHW","SCHW",13988
"54","LMT","LMT",6774
"55","ADP","ADP",1891
"56","C","C",3243
"57","CAT","CAT",2817
"58","SBUX","SBUX",25434
"59","PLD","PLD",29984
"60","DE","DE",3835
"61","AMAT","AMAT",1704
"62","AXP","AXP",1447
"63","BA","BA",2285
"64","ADI","ADI",1632
"65","CI","CI",2547
"66","DUK","DUK",4093
"67","GE","GE",5047
"68","MMC","MMC",7065
"69","MMM","MMM",7435
"70","SO","SO",9850
"71","MO","MO",8543
"72","CB","CB",28034
"73","TGT","TGT",3813
"74","GILD","GILD",24856
"75","TJX","TJX",11672
"76","SYK","SYK",10115
"77","NOC","NOC",7985
"78","VRTX","VRTX",24344
"79","LRCX","LRCX",6565
"80","CSX","CSX",2574
"81","MU","MU",7343
"82","BDX","BDX",2111
