"","ticker","tic","gvkey"
"1","AAPL","AAPL",1690
"2","MSFT","MSFT",12141
"3","AMZN","AMZN",64768
"4","BRK.B","BRK.B",2176
"5","UNH","UNH",10903
"6","NVDA","NVDA",117768
"7","JNJ","JNJ",6266
"8","XOM","XOM",4503
"9","PG","PG",8762
"10","JPM","JPM",2968
"11","CVX","CVX",2991
"12","HD","HD",5680
"13","PFE","PFE",8530
"14","LLY","LLY",6730
"15","KO","KO",3144
"16","PEP","PEP",8479
"17","COST","COST",29028
"18","BAC","BAC",7647
"19","TMO","TMO",10530
"20","MRK","MRK",7257
"21","ADBE","ADBE",12540
"22","MCD","MCD",7154
"23","ACN","ACN",143357
"24","DIS","DIS",3980
"25","VZ","VZ",2136
"26","ABT","ABT",1078
"27","CSCO","CSCO",20779
"28","WMT","WMT",11259
"29","DHR","DHR",3735
"30","CMCSA","CMCSA",3226
"31","NEE","NEE",4517
"32","QCOM","QCOM",24800
"33","TXN","TXN",10499
"34","WFC","WFC",8007
"35","AMD","AMD",1161
"36","BMY","BMY",2403
"37","LIN","LIN",25124
"38","INTC","INTC",6008
"39","NKE","NKE",7906
"40","UPS","UPS",10920
"41","UNP","UNP",10867
"42","RTX","RTX",10983
"43","T","T",9899
"44","AMGN","AMGN",1602
"45","HON","HON",1300
"46","SPGI","SPGI",7163
"47","INTU","INTU",27928
"48","CVS","CVS",7241
"49","MDT","MDT",7228
"50","LOW","LOW",6829
"51","AMT","AMT",105365
"52","COP","COP",8549
"53","ORCL","ORCL",12142
"54","IBM","IBM",6066
"55","MS","MS",12124
"56","GS","GS",114628
"57","SCHW","SCHW",13988
"58","LMT","LMT",6774
"59","ADP","ADP",1891
"60","C","C",3243
"61","CAT","CAT",2817
"62","SBUX","SBUX",25434
"63","PLD","PLD",29984
"64","BLK","BLK",124434
"65","DE","DE",3835
"66","AMAT","AMAT",1704
"67","AXP","AXP",1447
"68","BA","BA",2285
"69","ADI","ADI",1632
"70","CI","CI",2547
"71","ISRG","ISRG",136725
"72","DUK","DUK",4093
"73","GE","GE",5047
"74","MMC","MMC",7065
"75","MMM","MMM",7435
"76","SO","SO",9850
"77","MO","MO",8543
"78","BKNG","BKNG",119314
"79","CB","CB",28034
"80","CCI","CCI",113490
"81","TGT","TGT",3813
"82","GILD","GILD",24856
