"","ticker","tic","gvkey"
"1","MSFT","MSFT",12141
"2","PG","PG",8762
"3","COST","COST",29028
"4","ACN","ACN",143357
"5","CSCO","CSCO",20779
"6","INTU","INTU",27928
"7","ADP","ADP",1891
"8","LRCX","LRCX",6565
"9","MU","MU",7343
"10","EL","EL",61567
"11","KLAC","KLAC",6304
"12","SYY","SYY",10247
"13","PH","PH",8358
"14","RMD","RMD",31887
"15","CPRT","CPRT",29901
"16","CTLT","CTLT",20228
"17","AMCR","AMCR",100243
"18","BR","BR",176928
"19","CLX","CLX",3121
"20","CAH","CAH",2751
"21","FDS","FDS",63172
"22","STX","STX",150937
"23","WDC","WDC",11399
"24","JKHY","JKHY",11811
"25","TECH","TECH",15414
"26","FOXA","FOXA",34636
"27","CPB","CPB",2663
"28","TPR","TPR",140541
"29","NWSA","NWSA",18043
