"","ticker","tic","gvkey"
"229","AME","AME",1598
"230","ROK","ROK",9203
"231","ON","ON",134932
"232","KDP","KDP",28877
"233","FRC","FRC",14275
"234","AVB","AVB",29875
"235","ALB","ALB",29751
"236","ROST","ROST",9248
"237","DFS","DFS",177376
"238","AWK","AWK",179437
"239","TROW","TROW",12138
"240","WBA","WBA",11264
"241","GLW","GLW",3532
"242","ODFL","ODFL",24617
"243","CPRT","CPRT",29901
"244","EBAY","EBAY",114524
"245","CBRE","CBRE",260774
"246","WY","WY",11456
"247","KHC","KHC",5568
"248","OKE","OKE",8151
"249","EIX","EIX",9846
"250","TSN","TSN",10793
"251","HAL","HAL",5439
"252","EQR","EQR",28733
"253","STT","STT",10035
"254","DTE","DTE",3897
"255","EFX","EFX",4423
"256","WST","WST",11376
"257","EXR","EXR",160479
"258","CDW","CDW",28320
"259","DHI","DHI",25340
"260","ANSS","ANSS",63080
"261","IT","IT",12441
"262","ARE","ARE",64821
"263","CTRA","CTRA",20548
"264","AEE","AEE",10860
"265","ZBH","ZBH",144559
"266","GWW","GWW",5256
"267","LH","LH",14960
"268","ETR","ETR",7366
"269","BALL","BALL",1988
"270","SIVB","SIVB",17120
"271","DRE","DRE",13510
"272","FITB","FITB",4640
"273","WTW","WTW",144009
"274","URI","URI",66065
"275","FE","FE",8099
"276","STE","STE",25313
"277","LUV","LUV",9882
"278","MKC","MKC",7146
"279","MPWR","MPWR",160888
"280","MLM","MLM",29733
"281","PPL","PPL",8455
"282","VMC","VMC",11228
"283","MTCH","MTCH",26061
"284","GPC","GPC",5125
"285","ABC","ABC",31673
"286","TSCO","TSCO",29736
"287","LEN","LEN",6669
"288","CHD","CHD",3026
"289","HIG","HIG",61739
"290","WAT","WAT",61574
"291","VTR","VTR",110179
"292","NDAQ","NDAQ",149337
"293","EPAM","EPAM",187697
"294","ALGN","ALGN",141384
"295","ULTA","ULTA",178704
"296","MAA","MAA",29649
"297","CF","CF",163946
"298","NTRS","NTRS",7982
"299","DAL","DAL",3851
"300","TTWO","TTWO",64630
"301","CMS","CMS",3439
"302","CNP","CNP",5742
"303","RF","RF",4674
"304","PWR","PWR",66446
"305","IR","IR",30098
"306","PKI","PKI",4145
"307","MOS","MOS",162129
"308","AMCR","AMCR",100243
"309","MOH","MOH",152149
"310","RJF","RJF",8898
"311","HBAN","HBAN",5786
"312","BR","BR",176928
"313","DOV","DOV",4058
"314","VRSN","VRSN",66368
"315","K","K",6375
"316","TDY","TDY",126721
"317","HOLX","HOLX",20904
"318","ESS","ESS",30293
"319","SWKS","SWKS",1327
"320","CLX","CLX",3121
"321","EXPD","EXPD",4494
"322","FLT","FLT",184700
"323","ZBRA","ZBRA",24405
"324","WAB","WAB",60979
"325","TRMB","TRMB",22815
"326","XYL","XYL",189491
"327","MRO","MRO",7017
"328","GNRC","GNRC",183736
"329","ATO","ATO",4383
"330","CAH","CAH",2751
"331","KEY","KEY",9783
"332","J","J",6216
