"","ticker","tic","gvkey"
"1","AAPL","AAPL",1690
"2","MSFT","MSFT",12141
"3","BRK.B","BRK.B",2176
"4","UNH","UNH",10903
"5","JNJ","JNJ",6266
"6","XOM","XOM",4503
"7","PG","PG",8762
"8","JPM","JPM",2968
"9","CVX","CVX",2991
"10","HD","HD",5680
"11","PFE","PFE",8530
"12","LLY","LLY",6730
"13","KO","KO",3144
"14","PEP","PEP",8479
"15","COST","COST",29028
"16","BAC","BAC",7647
"17","TMO","TMO",10530
"18","MRK","MRK",7257
"19","ADBE","ADBE",12540
"20","MCD","MCD",7154
"21","DIS","DIS",3980
"22","VZ","VZ",2136
"23","ABT","ABT",1078
"24","CSCO","CSCO",20779
"25","WMT","WMT",11259
"26","DHR","DHR",3735
"27","CMCSA","CMCSA",3226
"28","NEE","NEE",4517
"29","QCOM","QCOM",24800
"30","TXN","TXN",10499
"31","WFC","WFC",8007
"32","AMD","AMD",1161
"33","BMY","BMY",2403
"34","LIN","LIN",25124
"35","INTC","INTC",6008
"36","NKE","NKE",7906
"37","UPS","UPS",10920
"38","UNP","UNP",10867
"39","RTX","RTX",10983
"40","T","T",9899
"41","AMGN","AMGN",1602
"42","HON","HON",1300
"43","SPGI","SPGI",7163
"44","INTU","INTU",27928
"45","CVS","CVS",7241
"46","MDT","MDT",7228
"47","LOW","LOW",6829
"48","COP","COP",8549
"49","ORCL","ORCL",12142
"50","IBM","IBM",6066
"51","MS","MS",12124
"52","SCHW","SCHW",13988
"53","LMT","LMT",6774
"54","ADP","ADP",1891
"55","C","C",3243
"56","CAT","CAT",2817
"57","SBUX","SBUX",25434
"58","PLD","PLD",29984
"59","DE","DE",3835
"60","AMAT","AMAT",1704
"61","AXP","AXP",1447
"62","BA","BA",2285
"63","ADI","ADI",1632
"64","CI","CI",2547
"65","DUK","DUK",4093
"66","GE","GE",5047
"67","MMC","MMC",7065
"68","MMM","MMM",7435
"69","SO","SO",9850
"70","MO","MO",8543
"71","CB","CB",28034
"72","TGT","TGT",3813
"73","GILD","GILD",24856
"74","TJX","TJX",11672
"75","SYK","SYK",10115
"76","NOC","NOC",7985
"77","VRTX","VRTX",24344
"78","LRCX","LRCX",6565
"79","CSX","CSX",2574
"80","MU","MU",7343
"81","BDX","BDX",2111
"82","PNC","PNC",8245
"83","CL","CL",3170
