"","ticker","tic","gvkey"
"1","AAPL","AAPL",1690
"2","MSFT","MSFT",12141
"3","AMZN","AMZN",64768
"4","GOOGL","GOOGL",160329
"5","BRK.B","BRK.B",2176
"6","UNH","UNH",10903
"7","NVDA","NVDA",117768
"8","JNJ","JNJ",6266
"9","XOM","XOM",4503
"10","PG","PG",8762
"11","V","V",179534
"12","JPM","JPM",2968
"13","CVX","CVX",2991
"14","HD","HD",5680
"15","MA","MA",160225
"16","PFE","PFE",8530
"17","LLY","LLY",6730
"18","KO","KO",3144
"19","PEP","PEP",8479
"20","COST","COST",29028
"21","BAC","BAC",7647
"22","TMO","TMO",10530
"23","MRK","MRK",7257
"24","ADBE","ADBE",12540
"25","MCD","MCD",7154
"26","ACN","ACN",143357
"27","DIS","DIS",3980
"28","VZ","VZ",2136
"29","ABT","ABT",1078
"30","CSCO","CSCO",20779
"31","WMT","WMT",11259
"32","DHR","DHR",3735
"33","CRM","CRM",157855
"34","CMCSA","CMCSA",3226
"35","NEE","NEE",4517
"36","QCOM","QCOM",24800
"37","TXN","TXN",10499
"38","WFC","WFC",8007
"39","AMD","AMD",1161
"40","BMY","BMY",2403
"41","PM","PM",179621
"42","LIN","LIN",25124
"43","INTC","INTC",6008
"44","NKE","NKE",7906
"45","UPS","UPS",10920
"46","UNP","UNP",10867
"47","RTX","RTX",10983
"48","T","T",9899
"49","AMGN","AMGN",1602
"50","HON","HON",1300
"51","SPGI","SPGI",7163
"52","INTU","INTU",27928
"53","CVS","CVS",7241
"54","MDT","MDT",7228
"55","LOW","LOW",6829
"56","AMT","AMT",105365
"57","COP","COP",8549
"58","ORCL","ORCL",12142
"59","IBM","IBM",6066
"60","MS","MS",12124
"61","ELV","ELV",145046
"62","GS","GS",114628
"63","SCHW","SCHW",13988
"64","LMT","LMT",6774
"65","ADP","ADP",1891
"66","C","C",3243
"67","NFLX","NFLX",147579
"68","CAT","CAT",2817
"69","SBUX","SBUX",25434
"70","PLD","PLD",29984
"71","BLK","BLK",124434
"72","DE","DE",3835
"73","AMAT","AMAT",1704
"74","AXP","AXP",1447
"75","BA","BA",2285
"76","MDLZ","MDLZ",142953
"77","ADI","ADI",1632
"78","CI","CI",2547
"79","ISRG","ISRG",136725
"80","DUK","DUK",4093
"81","GE","GE",5047
"82","MMC","MMC",7065
