"","ticker","tic","gvkey"
"1","AAPL","AAPL",1690
"2","MSFT","MSFT",12141
"3","BRK.B","BRK.B",2176
"4","UNH","UNH",10903
"5","JNJ","JNJ",6266
"6","XOM","XOM",4503
"7","PG","PG",8762
"8","JPM","JPM",2968
"9","CVX","CVX",2991
"10","HD","HD",5680
"11","PFE","PFE",8530
"12","LLY","LLY",6730
"13","KO","KO",3144
"14","PEP","PEP",8479
"15","BAC","BAC",7647
"16","TMO","TMO",10530
"17","MRK","MRK",7257
"18","ADBE","ADBE",12540
"19","MCD","MCD",7154
"20","DIS","DIS",3980
"21","VZ","VZ",2136
"22","ABT","ABT",1078
"23","CSCO","CSCO",20779
"24","WMT","WMT",11259
"25","DHR","DHR",3735
"26","CMCSA","CMCSA",3226
"27","NEE","NEE",4517
"28","TXN","TXN",10499
"29","WFC","WFC",8007
"30","AMD","AMD",1161
"31","BMY","BMY",2403
"32","INTC","INTC",6008
"33","NKE","NKE",7906
"34","UPS","UPS",10920
"35","UNP","UNP",10867
"36","RTX","RTX",10983
"37","T","T",9899
"38","AMGN","AMGN",1602
"39","HON","HON",1300
"40","SPGI","SPGI",7163
"41","CVS","CVS",7241
"42","MDT","MDT",7228
"43","LOW","LOW",6829
"44","COP","COP",8549
"45","ORCL","ORCL",12142
"46","IBM","IBM",6066
"47","MS","MS",12124
"48","SCHW","SCHW",13988
"49","LMT","LMT",6774
"50","ADP","ADP",1891
"51","C","C",3243
"52","CAT","CAT",2817
"53","DE","DE",3835
"54","AMAT","AMAT",1704
"55","AXP","AXP",1447
"56","BA","BA",2285
"57","ADI","ADI",1632
"58","CI","CI",2547
"59","DUK","DUK",4093
"60","GE","GE",5047
"61","MMC","MMC",7065
"62","MMM","MMM",7435
"63","SO","SO",9850
"64","MO","MO",8543
"65","TGT","TGT",3813
"66","GILD","GILD",24856
"67","TJX","TJX",11672
"68","SYK","SYK",10115
"69","NOC","NOC",7985
"70","VRTX","VRTX",24344
"71","LRCX","LRCX",6565
"72","CSX","CSX",2574
"73","MU","MU",7343
"74","BDX","BDX",2111
"75","PNC","PNC",8245
"76","CL","CL",3170
"77","D","D",4029
"78","PGR","PGR",13341
"79","TFC","TFC",11856
"80","USB","USB",4723
"81","WM","WM",14477
"82","EOG","EOG",16478
"83","REGN","REGN",23812
