"","Time","pp","pp_nr2"
"1",0,0.0095875496044755,0.00451778033874267
"2",1,0.0042911711614579,0.00452031379966785
"3",2,0.00445107716534819,0.00460365229384526
"4",3,0.00641114951577038,0.00501266234969224
"5",4,0.00535808846221438,0.00499669371530299
"6",5,0.00427143844509763,0.00460002730426952
"7",6,0.00414594262838364,0.00434756138866848
"8",7,0.00417234183156065,0.00431372090260284
"9",8,0.00483398771029897,0.00433905933461944
"10",9,0.00409211913522865,0.00423385535567958
"11",10,0.00363536516670138,0.00405918500838831
"12",11,0.00364586704277567,0.00403422448776572
"13",12,0.00515892353723757,0.00424034068688579
"14",13,0.00469334965704807,0.00427564094418345
"15",14,0.00373268942348659,0.00401618843259387
"16",15,0.00345383178708809,0.00385939940128257
"17",16,0.00378548030857928,0.00388902271809071
"18",17,0.00432758089820189,0.00394601932578009
"19",18,0.00404452625662088,0.00394455077892729
"20",19,0.00368224081051137,0.00391021772780022
"21",20,0.0043066862563137,0.00395662955885742
"22",21,0.00396576261014811,0.00392840213961755
"23",22,0.00380911838146858,0.00386013197754753
"24",23,0.00397110238139118,0.00377487326792816
"25",24,0.00316240743268281,0.00369481469873638
"26",25,0.00379472189316792,0.00372273945389558
"27",26,0.00379498969414271,0.00378711419116071
"28",27,0.00401855393179825,0.00381125014200272
"29",28,0.00368567282566801,0.00370319401435131
"30",29,0.00320349141423191,0.00363868871485657
"31",30,0.00372614129446447,0.00372702385496519
"32",31,0.00419238050069128,0.00382213978325834
"33",32,0.00391130778007209,0.00381720177465967
"34",33,0.00385491014458239,0.00378978175717
"35",34,0.00404321402311325,0.00373672579214274
"36",35,0.00380507826672069,0.00363657401158409
"37",36,0.00313301023561507,0.00341775784324661
"38",37,0.0030971811751702,0.00329038542833716
"39",38,0.00305362138897181,0.00321955609551736
"40",39,0.00303480991472801,0.00315977605028999
"41",40,0.00318260845961049,0.00317822962649925
"42",41,0.00317821432171123,0.00317394642944038
"43",42,0.00305107605527155,0.0031589473883205
"44",43,0.00300872921278434,0.00319315533731106
"45",44,0.00326111566391774,0.00329887175331223
"46",45,0.00403529619798064,0.00339393573654752
"47",46,0.00313807756174356,0.00338699892105009
"48",47,0.00365340752926256,0.00334327787204253
"49",48,0.00290638490696438,0.00327898015815956
"50",49,0.00311265965657575,0.00332475595553885
"51",50,0.00379145180340856,0.00347178528199116
"52",51,0.00356157287023962,0.00348747487461308
"53",52,0.00335349756642245,0.00341456498906194
"54",53,0.00348071514495781,0.00334132860099637
"55",54,0.00278211053228006,0.00323370646454723
"56",55,0.00337348848448268,0.00328383130639858
"57",56,0.00350116935765578,0.00341767711932657
"58",57,0.00339588463040335,0.00351268432000789
"59",58,0.00380665878765285,0.00365003556864982
"60",59,0.0042737254739872,0.00368854933413621
"61",60,0.00308844278333709,0.00351086233664391
"62",61,0.00353754514695278,0.00351070563334062
"63",62,0.0034152094158344,0.00356412519039418
"64",63,0.0041409839676427,0.00360663105800552
"65",64,0.00367964235400515,0.00358699648195541
"66",65,0.00342548775370233,0.00361901144636267
"67",66,0.00448246905580163,0.00372288793148402
"68",67,0.00349923366281603,0.00364639992209429
"69",68,0.00357699760934338,0.00362702432092456
"70",69,0.00372285089854683,0.00365865026237481
"71",70,0.00376896972634963,0.00367159061011992
"72",71,0.00340992808924057,0.00363208543693726
"73",72,0.00398134955737208,0.00361354306470953
"74",73,0.00320163441938348,0.00353003020247922
"75",74,0.00344448905837323,0.00354544553626823
"76",75,0.00366419774945825,0.003673533710965
"77",76,0.00362567041468407,0.00379572593391252
"78",77,0.00428311838186346,0.00392393068372075
"79",78,0.0039324180688709,0.00390821999940203
"80",79,0.00381246299366467,0.00383159212572142
"81",80,0.00411353286472149,0.003826955277894
"82",81,0.00346192245238594,0.00373122089338704
"83",82,0.00382586838012295,0.00368267559088668
"84",83,0.00354085053550079,0.00358508138628156
"85",84,0.00345905647347016,0.0035203808776205
"86",85,0.00327150238445029,0.00356676642335369
"87",86,0.0039145475519555,0.00369510867276148
"88",87,0.00385960901621729,0.0036821617632247
"89",88,0.0032143463779773,0.00358396410004431
"90",89,0.00365850329399109,0.00362391104298548
"91",90,0.00353614506976945,0.00364353369340793
"92",91,0.0037048812082503,0.00363795708859792
"93",92,0.00332474269505058,0.00364934542841028
"94",93,0.00392961667967029,0.00373624687295068
"95",94,0.0043086742516607,0.00382946344428351
"96",95,0.00384884647792205,0.00379179094085315
"97",96,0.00372897497644382,0.00371387708534333
"98",97,0.00362785515608266,0.00368306621028005
"99",98,0.0038361598937107,0.00372866450962652
"100",99,0.00365068964310922,0.00369022110271616
"101",100,0.00387721661744373,0.00367110568059977
"102",101,0.00379309602431022,0.00368027702298998
"103",102,0.00350745724114989,0.00358504945510919
"104",103,0.00365467061055824,0.00355505249876759
"105",104,0.00369469448924065,0.00367943202668165
"106",105,0.00384751812089235,0.00380419686436957
"107",106,0.00403174761283611,0.00390382201485062
"108",107,0.00421044154791161,0.00394487760927839
"109",108,0.00393075835225838,0.00385146574511019
"110",109,0.00376986680203117,0.00379840810662335
"111",110,0.00386657738792045,0.00374678538819829
"112",111,0.00324873044155538,0.00366426344599152
"113",112,0.0041861945231046,0.00371410612554285
"114",113,0.00419738740311004,0.00377042783779454
"115",114,0.00344350062576788,0.00370689915535907
"116",115,0.00350327833439223,0.00370284690095511
"117",116,0.00373535337192672,0.00374442837950323
"118",117,0.00415335889556445,0.00380943858505661
"119",118,0.0036729053244926,0.00377974918976825
"120",119,0.00360736309085041,0.00376730974585678
"121",120,0.00410327734425664,0.00386234571268995
"122",121,0.00418298365548253,0.00387887561493606
"123",122,0.00352719728834927,0.00378289035607867
"124",123,0.00401564402272925,0.00378862392435152
"125",124,0.00350440423270421,0.00375035894488969
"126",125,0.00384881591890007,0.00379910300204256
"127",126,0.00372090064255255,0.00384475778807619
"128",127,0.00407737618661486,0.00388980124044036
"129",128,0.00384582964969533,0.00387122092877241
"130",129,0.00381184311117977,0.00392273524988442
"131",130,0.00431217279817377,0.00406015521112223
"132",131,0.0042123906314373,0.00414539941584017
"133",132,0.00448032162967138,0.00417167858917098
"134",133,0.00402442109771073,0.00411233148554505
"135",134,0.00393913738662377,0.00404266898157081
"136",135,0.00438823674007186,0.00404122719547467
"137",136,0.00407215597806498,0.00395761399832608
"138",137,0.00336778872380299,0.00378256830604928
"139",138,0.0038979253731668,0.003713051147212
"140",139,0.00356106134131551,0.00367136306771511
"141",140,0.00344410390243866,0.00365840007440469
"142",141,0.00367938630682017,0.0037057488334132
"143",142,0.00405168547877111,0.00375257113009007
"144",143,0.00356017601942377,0.00369057273566338
"145",144,0.00340597762260586,0.0036466686674324
"146",145,0.00390725566207298,0.0036908951767418
"147",146,0.00365566063555889,0.00367069700838924
"148",147,0.00329236154045377,0.0035982984375805
"149",148,0.00342420805827715,0.00361775488631462
"150",149,0.00362046664979841,0.00367371082609297
"151",150,0.0037245539133437,0.0037643922882889
"152",151,0.00388038690601076,0.00393677772868954
"153",152,0.00450725576956756,0.00414877861289225
"154",153,0.0043844571669719,0.00419099874976476
"155",154,0.00379656787845306,0.00396157017533299
"156",155,0.0036130384542048,0.00379579484577734
"157",156,0.00343234316096641,0.00374131024774556
"158",157,0.00360692348996443,0.00377984806280215
"159",158,0.00370619902969338,0.00397396410188061
"160",159,0.00436117722918945,0.00429735841812784
"161",160,0.00521740363910794,0.00471758459194142
"162",161,0.00542157396141972,0.00509382154637792
"163",162,0.00604734546504915,0.00542937429313025
"164",163,0.00665088510140777,0.005490254127864
"165",164,0.00443553394870833,0.00523166517840598
"166",165,0.00489534268022648,0.00518605228307007
"167",166,0.00632825994398445,0.00531910588561654
"168",167,0.00578055690441813,0.00515804325243197
"169",168,0.00480252536362968,0.00489554995482439
"170",169,0.00435706497436123,0.00487421738691387
"171",170,0.00531525304540992,0.00512613171230833
"172",171,0.0055595482699573,0.00531080094855747
"173",172,0.00581472952451025,0.00528209258539161
"174",173,0.00518831459339708,0.00506104210591456
"175",174,0.00434277503518388,0.00488890874576375
"176",175,0.00477405723982624,0.00499752273769056
"177",176,0.00554226781241596,0.0052621298532282
"178",177,0.0058122352430863,0.00559490442201141
"179",178,0.00688130606431514,0.00579177033554023
"180",179,0.00553396483883262,0.00570806600740439
"181",180,0.00544592033838853,0.00572762190769589
"182",181,0.00668703957593867,0.00599042781587911
"183",182,0.00666947645368055,0.00606157290464865
"184",183,0.00488231344414609,0.00583980297739846
"185",184,0.00725133211484977,0.00589678206227288
"186",185,0.00559714809060097,0.0057610979418096
"187",186,0.00514408014714718,0.00559742465724964
"188",187,0.00607338494488171,0.00567117050561625
"189",188,0.00599085522117093,0.00578397556493376
"190",189,0.00615195790305734,0.00580761013180101
"191",190,0.00613218140123146,0.00567757178710556
"192",191,0.00480707915266976,0.00530734422629924
"193",192,0.00507761896005832,0.00525453573944273
"194",193,0.00584728352259845,0.00557432150546324
"195",194,0.00628193035455687,0.0056373539315749
"196",195,0.00534213765058666,0.00538744029682869
"197",196,0.00505951570812613,0.00512168360679325
"198",197,0.00496156376902945,0.00499954023426532
"199",198,0.00470104477634387,0.00504969205023592
"200",199,0.00518349505728111,0.00518087608692822
"201",200,0.00552190653979778,0.00527926594278629
"202",201,0.00569602262112312,0.00542501578966172
"203",202,0.00541815534234047,0.00553270607528593
"204",203,0.00574349757516757,0.00567091709365029
"205",204,0.00590149492823652,0.00589371150551743
"206",205,0.00694098393432796,0.00608655749877491
"207",206,0.00589286688981312,0.00584760962874072
"208",207,0.00543207518057898,0.00548027758317367
"209",208,0.00505578298387783,0.00527704270347812
"210",209,0.00472157349577174,0.00530756902703948
"211",210,0.00600990473425814,0.00547073544610825
"212",211,0.00550085766008124,0.00540564098894168
"213",212,0.00475740845182112,0.00531846244664473
"214",213,0.00570140441413969,0.00552956565920532
"215",214,0.00593959067815116,0.00585237629485566
"216",215,0.00744839338585734,0.00593028395884062
"217",216,0.0046932315453887,0.00560940961569669
"218",217,0.00509097950998694,0.00535014173850195
"219",218,0.00474710296839476,0.00529682170046428
"220",219,0.00640107074286789,0.00562738567709529
"221",220,0.00648748395698411,0.00579278698708294
"222",221,0.00471606900100596,0.00543076126094255
"223",222,0.00524319335818291,0.00523386842153915
"224",223,0.00485707439171771,0.00514700980369823
"225",224,0.00487253442406654,0.00521381889569743
"226",225,0.0059263008297421,0.00544460802415568
"227",226,0.00642269317592893,0.0056429266680554
"228",227,0.0057575085083954,0.00559835764566485
"229",228,0.00508241235677685,0.00540213182491769
"230",229,0.00503674667561427,0.0054110050597508
"231",230,0.0066995194314846,0.00566799004619494
"232",231,0.00685638445429504,0.00575840369411967
"233",232,0.00532353543011206,0.00552687620211011
"234",233,0.00508372631156817,0.00522046355946195
"235",234,0.0052118020830676,0.00504307100042209
"236",235,0.00414302181969914,0.00487022385359161
"237",236,0.00558026986462729,0.0048718356345658
"238",237,0.00400078782695346,0.00475465432205365
"239",238,0.0045282552683992,0.00488041552556853
"240",239,0.00599123339634389,0.00526219575531285
"241",240,0.00584757800347039,0.0055809741367157
"242",241,0.00609380076639354,0.00564372015938749
"243",242,0.00612161175480911,0.00539003068469472
"244",243,0.00495370832504705,0.00502824412361741
"245",244,0.00408076089141624,0.0046800892389156
"246",245,0.00485155213391408,0.00451558424170882
"247",246,0.00353671434069318,0.00433194220169704
"248",247,0.00406289508100599,0.00421731839686312
"249",248,0.00400692612553636,0.00423407609450029
"250",249,0.00405658467207104,0.00422132040329311
"251",250,0.00422845827415586,0.00424629729902245
"252",251,0.00399430631659925,0.00433899207946253
"253",252,0.00481442954125149,0.00455103249393653
"254",253,0.0052635543314474,0.00461702451893825
"255",254,0.00424737273715436,0.00440802193730943
"256",255,0.00408455875835248,0.00425719041894114
"257",256,0.00409880158258602,0.00420012950784816
"258",257,0.00394983084074089,0.004151297216603
"259",258,0.00424973049666733,0.00414285350927321
"260",259,0.00376461299934558,0.00416405412827061
"261",260,0.00454720016568899,0.0042552536533366
"262",261,0.003842490326081,0.00428869293243926
"263",262,0.00491051550488919,0.0044256071143193
"264",263,0.00403817453687744,0.00447487369211305
"265",264,0.00501164677552879,0.00458853932303661
"266",265,0.00474410650453397,0.0046389038235042
"267",266,0.00447591673582792,0.00462375162094829
"268",267,0.00507608694689614,0.00465581128728982
"269",268,0.00466179690556601,0.00454231227968259
"270",269,0.00427083126851358,0.0043578135864824
"271",270,0.00419733658782206,0.00424527711760402
"272",271,0.00403314675869686,0.00416646028475811
"273",272,0.00421778298914433,0.00408423464330948
"274",273,0.00384444976225495,0.00396728626349925
"275",274,0.00391077919630334,0.00387659588715092
"276",275,0.00376629380376211,0.00381902824023915
"277",276,0.00377805149764754,0.00383102788103167
"278",277,0.00393340397360069,0.00386846620304086
"279",278,0.00376139715081081,0.0037823018630476
"280",279,0.00333923676849476,0.00369893822074757
"281",280,0.00398139885510318,0.00380593016904439
"282",281,0.00374673350181963,0.0038655566988662
"283",282,0.00382052396889776,0.00392022234604227
