,Time,pp,pp_nr5,Accelerator,Brake,Steering,Speed,IN_Lat,IN_Long
1,0,0.00423516908333333,0.00436862742365103,20.672936980198,55.6995004752475,-350.802405841584,0,1836.067698,-5781.194376
2,1,0.00377763933333333,0.00435453299735208,20.6725070251256,58.6572404572864,-351.406132361809,0,1836.067698,-5781.194376
3,2,0.00426751233333333,0.00435928848133413,20.6851954228856,55.0506042238806,-359.826113084577,0,1836.067698,-5781.194376
4,3,0.00407093138095238,0.00438177402127809,20.6849380753769,22.3755738090452,-389.997896733668,0,1836.06767966834,-5781.19437364824
5,4,0.00433898379166667,0.00442025914500523,20.6625848656716,24.6042864129353,-483.648874328358,0,1836.06759197015,-5781.19434364179
6,5,0.00428692414285714,0.00446935272066162,20.639901321608,22.4856919839196,-609.361154271357,0,1836.06748079397,-5781.19428253266
7,6,0.00445308835714286,0.00449547382610229,20.713750960199,-1.48149103276119,-637.725430895522,0,1836.06734579104,-5781.19420280597
8,7,0.00494698447619048,0.00456666019225634,20.6944311809045,12.9631249873367,-638.616683567839,0,1836.06711648241,-5781.19410904523
9,8,0.004666802375,0.0046017699645051,20.6688377711443,16.0934476915423,-639.332109552239,0,1836.06683677612,-5781.19399886567
10,9,0.00460047557142857,0.00463329396091477,20.6478819497487,9.81669717135678,-640.162655226131,0,1836.06652558794,-5781.19390347739
11,10,0.00408352875,0.00467746518190981,20.6379655572139,12.0950242233831,-639.414262935323,0,1836.06618047761,-5781.1938519403
12,11,0.00466779214285714,0.00474018835918551,20.6298379145729,-0.509807154040201,-640.246607839196,0,1836.06580986935,-5781.19386482412
13,12,0.005675309,0.00480234094478249,20.6313971840796,19.4273902624876,-640.396352338308,0,1836.06542770149,-5781.19396191045
14,13,0.00486798276190476,0.00484112197048835,20.6684529296482,27.1942053366834,-636.729657487437,0,1836.0650958995,-5781.1940400603
15,14,0.00492807195833333,0.00485857437075358,20.6507008208955,39.8533805671642,-556.822685522388,0,1836.06490444776,-5781.19398561194
16,15,0.00474967685714286,0.00487462678082194,21.0228797386935,42.0191654020101,-400.386090452261,0,1836.06483422111,-5781.1939518995
17,16,0.00444754075,0.00490393683940447,20.8241881741294,41.5631474676617,-293.260413333333,0,1836.0648181194,-5781.19396492537
18,17,0.00562440861904762,0.0049458696371212,20.942664160804,11.9507947933668,-161.896365407035,0,1836.06483211055,-5781.19396489447
19,18,0.00606711728571429,0.00497958681709127,27.5809907661692,-2.83470369552239,3.34574405368159,0,1836.06493364179,-5781.19381519403
20,19,0.00474976421428571,0.00498427811199147,32.9197886834171,-4.61369629447236,65.0537083015075,0,1836.06522394975,-5781.19337068342
21,20,0.005001975125,0.00496701050332573,31.5041328656716,-1.78235816746269,130.186513930348,4.72636815920398,1836.06582662687,-5781.19243014925
22,21,0.00562861435714286,0.00494009135590422,31.5438354170854,-2.23804018809045,62.5027579698492,9.1356783919598,1836.06672880402,-5781.19100490452
23,22,0.0046611065,0.00491683060898163,29.4886121094527,-1.3580453511801,-30.5417380793035,12,1836.06783447761,-5781.18917080597
24,23,0.00462501535,0.00492778596073067,24.440909120603,-0.722558709046734,-50.5229529447236,13.286432160804,1836.06898278392,-5781.18718848241
25,24,0.00531609486363636,0.00491482664210671,29.2940611741294,0.0115529777860697,-104.547090159204,13.318407960199,1836.07028435821,-5781.1851501791
