,ticker,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
30,AMD,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,NA
31,AME,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,NA
32,AMGN,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,NA
33,AMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,164708,NA
34,AMT,NA,NA,NA,NA,NA,NA,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,105365,NA
35,AMZN,NA,NA,NA,NA,NA,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,64768,NA
36,ANET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20748,20748,20748,20748,20748,20748,20748,20748,20748,20748,20748,20748,NA
37,ANSS,NA,NA,NA,NA,NA,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,63080,NA
38,AON,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,NA
39,AOS,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,9771,NA
40,APA,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,NA
41,APD,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,NA
42,APH,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,NA
43,APTV,NA,NA,NA,NA,NA,NA,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,118122,NA
44,ARE,NA,NA,NA,NA,NA,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,64821,NA
45,ATO,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,NA
46,ATVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180405,180405,180405,180405,180405,180405,180405,180405,180405,180405,180405,180405,180405,180405,180405,180405,180405,180405,180405,NA
47,AVB,NA,NA,NA,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,29875,NA
48,AVGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180711,180711,180711,180711,180711,180711,180711,180711,180711,180711,180711,180711,180711,180711,180711,180711,180711,180711,NA
49,AVY,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,NA
50,AWK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179437,179437,179437,179437,179437,179437,179437,179437,179437,179437,179437,179437,179437,179437,179437,179437,179437,NA
51,AXP,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,NA
52,AZO,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,23809,NA
53,BA,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,NA
54,BAC,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,NA
55,BALL,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,NA
