,ticker,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
129,DD,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,NA
130,DE,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,NA
131,DFS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,177376,NA
132,DG,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,4016,NA
133,DGX,NA,NA,NA,NA,NA,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,64166,NA
134,DHI,NA,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,25340,NA
135,DHR,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,NA
136,DIS,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,3980,NA
137,DISH,NA,NA,NA,NA,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,NA
138,DLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,160991,NA
139,DLTR,NA,NA,NA,NA,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,31587,NA
140,DOV,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,NA
141,DOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34443,34443,34443,34443,34443,34443,34443,NA
142,DPZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,160211,NA
143,DRE,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,13510,NA
144,DRI,NA,NA,NA,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,31846,NA
145,DTE,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,NA
146,DUK,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,NA
147,DVA,NA,NA,NA,NA,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,61483,NA
148,DVN,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,14934,NA
149,DXC,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,NA
150,DXCM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,162887,NA
151,EA,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,16721,NA
152,EBAY,NA,NA,NA,NA,NA,NA,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,114524,NA
153,ECL,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,NA
154,ED,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,3413,NA
155,EFX,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,NA
156,EIX,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,9846,NA
157,EL,NA,NA,NA,NA,NA,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567,61567
158,ELV,NA,NA,NA,NA,NA,NA,NA,NA,NA,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,145046,NA
159,EMBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41050,41050,41050,NA
160,EMN,NA,NA,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,29392,NA
161,EMR,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,4321,NA
162,ENPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187450,187450,187450,187450,187450,187450,187450,187450,187450,187450,187450,187450,187450,187450,187450,NA
163,EOG,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,NA
164,EPAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187697,187697,187697,187697,187697,187697,187697,187697,187697,187697,187697,187697,187697,187697,187697,187697,NA
165,EQIX,NA,NA,NA,NA,NA,NA,NA,NA,NA,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,138743,NA
166,EQR,NA,NA,NA,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,28733,NA
167,ES,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,7970,NA
168,ESS,NA,NA,NA,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,30293,NA
169,ETN,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,NA
170,ETR,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,7366,NA
171,ETSY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23238,23238,23238,23238,23238,23238,23238,23238,23238,23238,NA
172,EVRG,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,NA
173,EW,NA,NA,NA,NA,NA,NA,NA,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,133366,NA
174,EXC,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,NA
175,EXPD,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,NA
176,EXPE,NA,NA,NA,NA,NA,NA,NA,NA,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,126296,NA
177,EXR,NA,NA,NA,NA,NA,NA,NA,NA,NA,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,160479,NA
178,F,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,NA
179,FANG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170750,170750,170750,170750,170750,170750,170750,170750,170750,170750,170750,170750,170750,170750,NA
180,FAST,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,NA
181,FBHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188255,188255,188255,188255,188255,188255,188255,188255,188255,188255,188255,188255,188255,NA
182,FCX,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,NA
183,FDS,NA,NA,NA,NA,NA,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172,63172
184,FDX,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,NA
185,FE,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,8099,NA
186,FFIV,NA,NA,NA,NA,NA,NA,NA,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,121077,NA
187,FIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,165993,NA
188,FISV,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,12635,NA
189,FITB,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,NA
190,FLT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184700,184700,184700,184700,184700,184700,184700,184700,184700,184700,184700,184700,184700,184700,184700,184700,184700,NA
191,FMC,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,NA
192,FOXA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34636,34636,34636,34636,34636,34636,34636,34636,34636
193,FRC,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,NA
194,FRT,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,NA
195,FTNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183377,183377,183377,183377,183377,183377,183377,183377,183377,183377,183377,183377,183377,183377,183377,183377,183377,183377,NA
196,FTV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26590,26590,26590,26590,26590,26590,26590,26590,26590,NA
197,GD,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,NA
198,GE,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,NA
199,GILD,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,24856,NA
200,GIS,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,NA
201,GL,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,NA
202,GLW,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,3532,NA
203,GM,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,5073,NA
204,GNRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183736,183736,183736,183736,183736,183736,183736,183736,183736,183736,183736,183736,183736,183736,183736,183736,183736,183736,NA
205,GOOGL,NA,NA,NA,NA,NA,NA,NA,NA,NA,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,160329,NA
206,GPC,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,NA
207,GPN,NA,NA,NA,NA,NA,NA,NA,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,141913,NA
208,GRMN,NA,NA,NA,NA,NA,NA,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,141459,NA
209,GS,NA,NA,NA,NA,NA,NA,NA,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,114628,NA
210,GWW,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,NA
211,HAL,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,5439,NA
212,HAS,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,5518,NA
213,HBAN,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,5786,NA
214,HCA,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,22260,NA
215,HD,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,5680,NA
216,HES,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,NA
217,HIG,NA,NA,NA,NA,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,61739,NA
218,HII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186310,186310,186310,186310,186310,186310,186310,186310,186310,186310,186310,186310,186310,186310,NA
219,HLT,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,NA
220,HOLX,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,20904,NA
221,HON,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,NA
222,HPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26156,26156,26156,26156,26156,26156,26156,26156,26156,NA
223,HPQ,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,NA
224,HRL,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,5709,NA
225,HSIC,NA,NA,NA,NA,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,61494,NA
226,HST,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,NA
227,HSY,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,NA
228,HUM,NA,NA,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,27914,NA
229,HWM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28192,NA,28192,28192,28192,28192,28192,28192,28192,NA
230,IBM,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,6066,NA
231,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,NA
232,IDXX,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,24197,NA
233,IEX,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,15267,NA
234,IFF,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,NA
235,ILMN,NA,NA,NA,NA,NA,NA,NA,NA,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,138205,NA
236,INCY,NA,NA,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,29127,NA
237,INTC,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,NA
238,INTU,NA,NA,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928
239,IP,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,6104,NA
240,IPG,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,NA
241,IQV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17928,17928,17928,17928,17928,17928,17928,17928,17928,17928,17928,17928,17928,17928,NA
242,IR,NA,NA,NA,NA,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,30098,NA
243,IRM,NA,NA,NA,NA,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,62374,NA
244,ISRG,NA,NA,NA,NA,NA,NA,NA,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,136725,NA
245,IT,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,NA
246,ITW,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,5878,NA
247,IVZ,NA,NA,NA,NA,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,29804,NA
248,J,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,6216,NA
249,JBHT,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,5783,NA
250,JCI,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,NA
251,JKHY,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811,11811
252,JNJ,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,6266,NA
253,JNPR,NA,NA,NA,NA,NA,NA,NA,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,121718,NA
254,JPM,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,NA
255,K,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,6375,NA
256,KDP,NA,NA,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,28877,NA
257,KEY,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,9783,NA
258,KEYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20232,20232,20232,20232,20232,20232,20232,20232,20232,20232,20232,20232,20232,NA
259,KHC,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,NA
260,KIM,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,24731,NA
